Ticker,Company_Name,Sector,Industry,Current_Price,Market_Cap,EPS,PE_Ratio,PB_Ratio,EV_EBITDA,Revenue,Revenue_Growth,EBIT,FCF,Total_Debt,Total_Cash,Debt_to_Equity,Current_Ratio,Profit_Margin,Operating_Margin,ROE,ROA,Beta,Cost_of_Equity,Cost_of_Debt,WACC,Dividend_Yield,Payout_Ratio,Earnings_Growth,Fetched_Date,Reverse_DCF_Signal,Weight
ITD.BK,Italian-Thai Development Public Company Limited,Industrials,Engineering & Construction,0.26,1372765824,0.34,0.76470584,0.42139384,-5.66,35877778000.0,-0.417,4499053000.0,317473000.0,40239415296,5190761984,1151.236,0.668,0.0497,-0.42192,0.4289,-0.09076,0.621,0.07226,0.0565793012461171,0.0461540444828824,0.0,0.0,0.0,2026-04-11 06:25:26,3.8129412612797693,0.05
RCL.BK,Regional Container Lines Public Company Limited,Industrials,Marine Shipping,31.25,25898438656,9.85,3.1725888,0.48571607,2.014,36923567221.0,-0.061,9049050966.0,2078443825.0,15975469056,16701367296,29.964,2.411,0.22118,0.20966,0.15659,0.069860004,0.73,0.0788,0.0538296791152446,0.0651661288280197,12.8,0.2538,-0.457,2026-04-11 06:25:54,0.34019063358790463,0.05
NOBLE.BK,Noble Development Public Company Limited,Real Estate,Real Estate - Development,1.99,2725133056,0.43,4.627907,0.40438935,-49.11,6929736036.0,-0.52,1138148922.0,1692115000.0,14009975808,1422184704,207.869,2.121,0.08559,-0.08673,0.088640004,-0.009,0.717,0.07802,0.0295445091178275,0.0324915225737679,20.9,0.24190001,0.0,2026-04-11 06:25:42,0.10945215926441225,0.05
KBS.BK,Khonburi Sugar Public Company Limited,Consumer Defensive,Confectioners,5.5,3290833664,1.02,5.392157,0.66699004,3.872,10919840044.0,0.031,866085592.0,977468435.0,3334355456,169007872,67.583,1.163,0.05548,-0.14542,0.1259,0.04888,0.424,0.06044,0.0471212508904149,0.0489937993878973,9.09,0.6863,0.0,2026-04-11 06:25:32,0.09560993212813103,0.05
AP.BK,AP (Thailand) Public Company Limited,Real Estate,Real Estate - Development,8.45,26582849536,1.37,6.167883,0.576713,10.64,37344606178.0,0.134,5832585844.0,1786183343.0,31348867072,1856120960,68.035,4.428,0.114779994,0.15090999,0.0962,0.03797,0.434,0.06104,0.0183253193386726,0.035942306867356,6.15,0.438,-0.001,2026-04-11 06:24:44,0.056712517848268716,0.05
BAY.BK,Bank of Ayudhya Public Company Limited,Financial Services,Banks - Regional,25.75,189410869248,4.31,5.9744782,0.45667362,0.0,154897997000.0,0.153,0.0,72935728000.0,148445741056,53977333760,0.0,0.0,0.27229,0.39938,0.080019996,0.0127,0.246,0.04976,0.2076044740709277,0.1008696701926776,5.05,0.1972,0.136,2026-04-11 06:24:49,0.05547371462000644,0.05
CIMBT.BK,CIMB Thai Bank Public Company Limited,Financial Services,Banks - Regional,0.37,12884237312,0.07,5.285714,0.24683124,0.0,12812034291.0,-0.262,0.0,-4509384478.0,107931738112,162842492928,0.0,0.0,0.22205,0.21006,0.043860003,0.0043099998,-0.025,0.0335,0.0757423177186015,0.0577044709980224,0.0,0.5714,-0.556,2026-04-11 06:25:05,0.04572075431284225,0.05
CPF.BK,Charoen Pokphand Foods Public Company Limited,Consumer Defensive,Farm Products,20.8,158742609920,3.12,6.6666665,0.82615083,9.104,571134512000.0,-0.048,40396584000.0,54032184000.0,516785307648,27965032448,205.188,0.671,0.04389,0.03838,0.105100006,0.035269998,0.047,0.03782,0.0060333410293539,0.0125797896521707,2.4,0.4968,-0.79,2026-04-11 06:25:09,0.04112385468765396,0.05
BBL.BK,Bangkok Bank Public Company Limited,Financial Services,Banks - Regional,166.0,316867903488,24.1,6.8879666,0.5521095,0.0,190980693000.0,-0.08,0.0,115419505000.0,309876457472,159571935232,0.0,0.0,0.32319,0.27344,0.081879996,0.01013,0.216,0.04796,0.1831407279629429,0.0966866052986345,9.94,0.3527,-0.254,2026-04-11 06:24:50,0.03570881918228249,0.05
AKR.BK,Ekarat Engineering Public Company Limited,Industrials,Electrical Equipment & Parts,0.93,1368864896,0.13,7.1538463,0.80519485,3.231,1917607999.0,-0.306,261795421.0,338581444.0,73750312,393124704,4.333,4.763,0.09873,0.27127,0.11191,0.075040005,0.107,0.04142,0.0893630795758531,0.0429572817814908,6.99,0.77519995,-0.369,2026-04-11 06:24:41,0.03546446942886407,0.05
