ticker,quarter_count
ADVANC.BK,5
AKR.BK,6
AOT.BK,6
AP.BK,6
ASAP.BK,6
ASIAN.BK,6
AWC.BK,6
BANPU.BK,6
BAY.BK,6
BBL.BK,6
BCH.BK,6
BCPG.BK,5
BCT.BK,6
BDMS.BK,6
BEM.BK,6
BGRIM.BK,6
BH.BK,6
BJC.BK,6
BRR.BK,6
BTS.BK,6
CBG.BK,6
CCET.BK,6
CENTEL.BK,6
CGD.BK,6
CHG.BK,6
CIMBT.BK,6
COM7.BK,6
CPALL.BK,6
CPF.BK,6
CPN.BK,6
CRC.BK,6
DELTA.BK,5
DRT.BK,6
EA.BK,6
EGCO.BK,6
ERW.BK,6
FPI.BK,6
FPT.BK,6
GLOBAL.BK,6
GPI.BK,6
GPSC.BK,5
GULF.BK,6
HANA.BK,6
HMPRO.BK,6
IRPC.BK,5
ITD.BK,6
IVL.BK,6
JAS.BK,6
JMART.BK,6
JMT.BK,6
KBANK.BK,6
KBS.BK,6
KCE.BK,6
KKP.BK,6
KSL.BK,7
KTB.BK,6
KTC.BK,6
LH.BK,6
MEGA.BK,6
MINT.BK,6
MTC.BK,6
NCH.BK,6
NOBLE.BK,6
OR.BK,6
OSP.BK,6
PF.BK,6
PG.BK,6
PRIN.BK,6
PSL.BK,5
PTT.BK,6
PTTEP.BK,5
PTTGC.BK,6
RATCH.BK,6
RBF.BK,6
RCL.BK,6
RML.BK,6
RS.BK,6
SAWAD.BK,6
SCB.BK,4
SCC.BK,6
SCGP.BK,5
SITHAI.BK,6
SPALI.BK,6
SPRC.BK,6
STPI.BK,6
TCAP.BK,6
THANI.BK,6
TIDLOR.BK,6
TISCO.BK,6
TLI.BK,6
TOP.BK,6
TR.BK,6
TRUE.BK,5
TTB.BK,6
TU.BK,5
TVO.BK,6
VGI.BK,6
WHA.BK,6
WPH.BK,6
XPG.BK,6
