Ticker,Passes_Reverse_DCF_Filter,Exclusion_Reasons
ADVANC.BK,True,PASS
AKR.BK,True,PASS
AOT.BK,True,PASS
AP.BK,True,PASS
ASAP.BK,True,PASS
ASIAN.BK,True,PASS
AWC.BK,False,FCF<=0_or_missing
BANPU.BK,False,FCF<=0_or_missing
BAY.BK,True,PASS
BBL.BK,True,PASS
BCH.BK,True,PASS
BCPG.BK,True,PASS
BCT.BK,True,PASS
BDMS.BK,True,PASS
BEM.BK,False,FCF<=0_or_missing
BGRIM.BK,True,PASS
BH.BK,True,PASS
BJC.BK,True,PASS
BRR.BK,True,PASS
BTS.BK,True,PASS
CBG.BK,True,PASS
CCET.BK,True,PASS
CENTEL.BK,True,PASS
CGD.BK,False,FCF<=0_or_missing
CHG.BK,True,PASS
CIMBT.BK,False,FCF<=0_or_missing
COM7.BK,True,PASS
CPALL.BK,True,PASS
CPF.BK,True,PASS
CPN.BK,True,PASS
CRC.BK,True,PASS
DELTA.BK,True,PASS
DRT.BK,True,PASS
EA.BK,True,PASS
EGCO.BK,True,PASS
ERW.BK,True,PASS
FPI.BK,True,PASS
FPT.BK,True,PASS
GLOBAL.BK,True,PASS
GPI.BK,True,PASS
GPSC.BK,True,PASS
GULF.BK,False,FCF<=0_or_missing
HANA.BK,True,PASS
HMPRO.BK,True,PASS
IRPC.BK,True,PASS
ITD.BK,True,PASS
IVL.BK,True,PASS
JAS.BK,True,PASS
JMART.BK,True,PASS
JMT.BK,True,PASS
KBANK.BK,True,PASS
KBS.BK,True,PASS
KCE.BK,True,PASS
KKP.BK,True,PASS
KSL.BK,False,FCF<=0_or_missing
KTB.BK,True,PASS
KTC.BK,True,PASS
LH.BK,True,PASS
MEGA.BK,True,PASS
MINT.BK,True,PASS
MTC.BK,False,FCF<=0_or_missing
NCH.BK,True,PASS
NOBLE.BK,True,PASS
OR.BK,True,PASS
OSP.BK,True,PASS
PF.BK,True,PASS
PG.BK,True,PASS
PRIN.BK,True,PASS
PSL.BK,False,FCF<=0_or_missing
PTT.BK,True,PASS
PTTEP.BK,True,PASS
PTTGC.BK,True,PASS
RATCH.BK,True,PASS
RBF.BK,True,PASS
RCL.BK,True,PASS
RML.BK,False,FCF<=0_or_missing
RS.BK,False,FCF<=0_or_missing
SAWAD.BK,True,PASS
SCB.BK,False,FCF<=0_or_missing
SCC.BK,True,PASS
SCGP.BK,True,PASS
SITHAI.BK,True,PASS
SPALI.BK,True,PASS
SPRC.BK,True,PASS
STPI.BK,True,PASS
TCAP.BK,True,PASS
THANI.BK,True,PASS
TIDLOR.BK,True,PASS
TISCO.BK,True,PASS
TLI.BK,True,PASS
TOP.BK,True,PASS
TR.BK,True,PASS
TRUE.BK,True,PASS
TTB.BK,True,PASS
TU.BK,True,PASS
TVO.BK,True,PASS
VGI.BK,True,PASS
WHA.BK,False,FCF<=0_or_missing
WPH.BK,False,FCF<=0_or_missing
XPG.BK,False,FCF<=0_or_missing
