Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2016-04-11,BAY.BK,33.0,33.5,32.75,33.0,25.548818588256836,188000.0
2016-04-12,BAY.BK,33.0,33.5,33.0,33.25,25.742372512817383,198200.0
2016-04-18,BAY.BK,33.0,34.0,32.75,33.75,26.129478454589844,541100.0
2016-04-19,BAY.BK,34.0,34.25,33.5,34.0,26.323026657104492,460100.0
2016-04-20,BAY.BK,34.25,34.25,33.75,34.0,26.323026657104492,440800.0
2016-04-21,BAY.BK,34.0,35.0,34.0,35.0,27.09722900390625,1198000.0
2016-04-22,BAY.BK,35.0,35.5,34.5,34.5,26.710126876831055,1082200.0
2016-04-25,BAY.BK,34.5,35.0,34.5,34.75,26.90367889404297,776800.0
2016-04-26,BAY.BK,34.75,35.0,34.75,35.0,27.09722900390625,422400.0
2016-04-27,BAY.BK,35.0,35.0,34.75,35.0,27.09722900390625,277200.0
2016-04-28,BAY.BK,35.0,35.0,34.5,34.75,26.90367889404297,572700.0
2016-04-29,BAY.BK,34.75,34.75,34.5,34.75,26.90367889404297,297900.0
2016-05-03,BAY.BK,35.0,35.0,34.25,34.25,26.516572952270508,83300.0
2016-05-04,BAY.BK,34.25,34.25,33.75,34.0,26.323026657104492,211000.0
2016-05-09,BAY.BK,33.75,34.0,33.0,33.5,26.24468231201172,527800.0
2016-05-10,BAY.BK,33.75,34.5,33.75,34.0,26.636394500732422,631200.0
2016-05-11,BAY.BK,34.0,35.25,34.0,34.5,27.028104782104492,1537600.0
2016-05-12,BAY.BK,34.0,34.5,33.75,34.25,26.832250595092773,226100.0
2016-05-13,BAY.BK,34.5,35.0,34.25,34.5,27.028104782104492,1060800.0
2016-05-16,BAY.BK,34.75,35.25,34.5,35.25,27.615678787231445,2959400.0
2016-05-17,BAY.BK,35.25,35.25,34.75,35.25,27.615678787231445,792500.0
2016-05-18,BAY.BK,35.0,35.0,34.75,34.75,27.223960876464844,199600.0
2016-05-19,BAY.BK,35.0,35.0,34.5,34.75,27.223960876464844,1253000.0
2016-05-23,BAY.BK,34.75,35.0,34.5,35.0,27.419816970825195,976900.0
2016-05-24,BAY.BK,35.0,35.5,35.0,35.25,27.615678787231445,369700.0
2016-05-25,BAY.BK,35.5,36.0,35.25,36.0,28.20323944091797,1435900.0
2016-05-26,BAY.BK,36.0,38.0,36.0,37.25,29.18252182006836,5884900.0
2016-05-27,BAY.BK,37.0,37.25,36.75,37.25,29.18252182006836,992000.0
2016-05-30,BAY.BK,37.5,37.75,37.0,37.5,29.378381729125977,1076500.0
2016-05-31,BAY.BK,37.5,37.75,37.0,37.75,29.57423210144043,998200.0
2016-06-01,BAY.BK,37.75,37.75,37.0,37.0,28.986669540405273,513600.0
2016-06-02,BAY.BK,37.25,37.75,37.25,37.25,29.18252182006836,1201900.0
2016-06-03,BAY.BK,37.25,37.25,36.5,37.0,28.986669540405273,906000.0
2016-06-06,BAY.BK,37.25,37.5,37.0,37.0,28.986669540405273,651800.0
2016-06-07,BAY.BK,37.0,37.5,36.75,36.75,28.790815353393555,1318500.0
2016-06-08,BAY.BK,36.75,36.75,35.75,36.5,28.594955444335938,2079500.0
2016-06-09,BAY.BK,36.5,36.75,36.0,36.0,28.20323944091797,1226900.0
2016-06-10,BAY.BK,36.0,36.75,35.75,36.75,28.790815353393555,1068700.0
2016-06-13,BAY.BK,35.75,36.5,35.75,36.25,28.39909553527832,465500.0
2016-06-14,BAY.BK,36.25,36.5,36.25,36.5,28.594955444335938,331300.0
2016-06-15,BAY.BK,36.75,37.0,36.5,36.75,28.790815353393555,253400.0
2016-06-16,BAY.BK,36.75,36.75,36.0,36.0,28.20323944091797,755200.0
2016-06-17,BAY.BK,36.0,36.5,36.0,36.5,28.594955444335938,526400.0
2016-06-20,BAY.BK,36.5,36.5,36.0,36.5,28.594955444335938,141000.0
2016-06-21,BAY.BK,36.25,36.75,36.0,36.5,28.594955444335938,380500.0
2016-06-22,BAY.BK,36.5,36.75,36.25,36.5,28.594955444335938,126500.0
2016-06-23,BAY.BK,36.25,36.75,36.0,36.5,28.594955444335938,239100.0
2016-06-24,BAY.BK,36.0,36.25,34.75,36.25,28.39909553527832,1851100.0
2016-06-27,BAY.BK,36.25,36.75,36.0,36.75,28.790815353393555,494300.0
2016-06-28,BAY.BK,36.5,36.75,36.25,36.75,28.790815353393555,274600.0
2016-06-29,BAY.BK,36.75,37.75,36.5,37.75,29.57423210144043,2261100.0
2016-06-30,BAY.BK,38.0,38.75,37.5,38.0,29.77008819580078,1933400.0
2016-07-04,BAY.BK,38.25,38.5,37.75,38.25,29.965944290161133,1163100.0
2016-07-05,BAY.BK,38.25,38.5,37.5,38.25,29.965944290161133,726400.0
2016-07-06,BAY.BK,38.0,38.25,37.75,38.25,29.965944290161133,348900.0
2016-07-07,BAY.BK,38.25,38.25,37.25,38.0,29.77008819580078,950300.0
2016-07-08,BAY.BK,38.25,38.25,37.75,38.0,29.77008819580078,268100.0
2016-07-11,BAY.BK,38.0,39.25,37.75,39.25,30.74936866760254,2176200.0
2016-07-12,BAY.BK,40.0,41.5,39.75,40.75,31.92450714111328,6856600.0
2016-07-13,BAY.BK,41.0,41.0,39.25,39.5,30.94522476196289,1716300.0
2016-07-14,BAY.BK,39.5,40.0,39.0,39.5,30.94522476196289,629600.0
2016-07-15,BAY.BK,39.75,40.0,39.0,39.5,30.94522476196289,757200.0
2016-07-20,BAY.BK,39.75,40.0,39.0,39.5,30.94522476196289,888900.0
2016-07-21,BAY.BK,39.5,40.25,39.25,39.75,31.141080856323242,1231600.0
2016-07-22,BAY.BK,39.75,39.75,39.0,39.25,30.74936866760254,1299400.0
2016-07-25,BAY.BK,39.5,39.5,39.0,39.25,30.74936866760254,327300.0
2016-07-26,BAY.BK,39.5,39.5,39.0,39.0,30.553518295288086,319000.0
2016-07-27,BAY.BK,39.0,39.5,39.0,39.5,30.94522476196289,183500.0
2016-07-28,BAY.BK,39.5,40.75,39.0,40.25,31.532785415649414,2195100.0
2016-07-29,BAY.BK,40.75,42.0,40.25,41.25,32.31621170043945,3414700.0
2016-08-01,BAY.BK,41.25,41.5,40.5,41.0,32.12035369873047,2125100.0
2016-08-02,BAY.BK,40.75,41.0,39.75,39.75,31.141080856323242,422400.0
2016-08-03,BAY.BK,39.5,40.25,39.25,39.5,30.94522476196289,1331100.0
2016-08-04,BAY.BK,39.5,39.5,38.5,38.75,30.357654571533203,2376400.0
2016-08-05,BAY.BK,38.75,39.0,38.5,38.75,30.357654571533203,561800.0
2016-08-08,BAY.BK,39.5,39.75,39.0,39.0,30.553518295288086,1736000.0
2016-08-09,BAY.BK,39.25,39.75,39.0,39.5,30.94522476196289,1860100.0
2016-08-10,BAY.BK,39.75,39.75,38.75,39.0,30.553518295288086,2317600.0
2016-08-11,BAY.BK,39.0,39.5,38.75,39.0,30.553518295288086,459400.0
2016-08-15,BAY.BK,38.5,39.0,38.5,38.5,30.16180419921875,549000.0
2016-08-16,BAY.BK,38.5,38.75,37.75,37.75,29.57423210144043,763000.0
2016-08-17,BAY.BK,37.25,37.75,37.25,37.5,29.378381729125977,884600.0
2016-08-18,BAY.BK,37.25,38.25,37.25,38.25,29.965944290161133,525100.0
2016-08-19,BAY.BK,38.0,38.25,37.75,37.75,29.57423210144043,235000.0
2016-08-22,BAY.BK,37.75,38.0,37.75,37.75,29.57423210144043,149600.0
2016-08-23,BAY.BK,37.75,38.0,37.5,38.0,29.77008819580078,121000.0
2016-08-24,BAY.BK,38.25,39.0,38.0,38.25,29.965944290161133,758800.0
2016-08-25,BAY.BK,38.75,39.5,38.25,38.25,29.965944290161133,1102300.0
2016-08-26,BAY.BK,38.5,38.75,38.25,38.25,29.965944290161133,152600.0
2016-08-29,BAY.BK,38.25,38.75,38.25,38.25,29.965944290161133,154100.0
2016-08-30,BAY.BK,38.5,38.75,38.25,38.5,30.16180419921875,115600.0
2016-08-31,BAY.BK,38.75,38.75,38.25,38.5,30.16180419921875,168200.0
2016-09-01,BAY.BK,38.5,38.75,37.0,37.25,29.18252182006836,1935600.0
2016-09-02,BAY.BK,37.0,37.5,36.5,36.75,28.790815353393555,1225400.0
2016-09-05,BAY.BK,37.0,37.0,36.0,36.75,28.790815353393555,1435000.0
2016-09-06,BAY.BK,36.25,36.5,36.0,36.0,28.513593673706055,321100.0
2016-09-07,BAY.BK,36.25,37.0,36.25,36.25,28.71160125732422,760500.0
2016-09-08,BAY.BK,36.25,36.5,35.0,35.75,28.31559181213379,1051300.0
2016-09-09,BAY.BK,35.5,36.0,35.0,36.0,28.513593673706055,358600.0
2016-09-12,BAY.BK,35.5,35.5,34.75,35.0,27.721546173095703,757200.0
2016-09-13,BAY.BK,35.0,35.5,35.0,35.0,27.721546173095703,380700.0
2016-09-14,BAY.BK,35.25,35.25,34.75,35.0,27.721546173095703,389200.0
2016-09-15,BAY.BK,35.25,37.0,35.0,36.25,28.71160125732422,960800.0
2016-09-16,BAY.BK,36.5,37.0,36.5,37.0,29.30564308166504,470500.0
2016-09-19,BAY.BK,37.0,37.0,36.5,36.75,29.10763168334961,94200.0
2016-09-20,BAY.BK,36.75,36.75,36.0,36.25,28.71160125732422,69900.0
2016-09-21,BAY.BK,36.5,36.75,36.25,36.5,28.909618377685547,104900.0
2016-09-22,BAY.BK,36.5,37.5,36.5,37.5,29.701663970947266,818700.0
2016-09-23,BAY.BK,37.5,37.5,36.5,37.0,29.30564308166504,410200.0
2016-09-26,BAY.BK,36.75,37.25,36.5,36.75,29.10763168334961,288700.0
2016-09-27,BAY.BK,37.0,37.0,36.5,36.75,29.10763168334961,167700.0
2016-09-28,BAY.BK,36.75,36.75,36.25,36.25,28.71160125732422,228500.0
2016-09-29,BAY.BK,36.25,36.75,36.25,36.5,28.909618377685547,139600.0
2016-09-30,BAY.BK,36.5,36.75,36.25,36.25,28.71160125732422,35000.0
2016-10-03,BAY.BK,36.25,36.5,36.25,36.25,28.71160125732422,316000.0
2016-10-04,BAY.BK,36.5,37.25,36.25,37.25,29.503650665283203,911800.0
2016-10-05,BAY.BK,37.5,37.5,36.75,36.75,29.10763168334961,210200.0
