Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2025-04-03,GULF.BK,49.25,50.5,48.75,48.75,46.194557189941406,86492700.0
2025-04-04,GULF.BK,48.0,48.25,45.0,45.0,42.64112854003906,90056800.0
2025-04-08,GULF.BK,39.0,41.75,38.5,40.0,37.90322494506836,97264300.0
2025-04-09,GULF.BK,40.5,43.25,39.75,42.25,40.035282135009766,87260500.0
2025-04-10,GULF.BK,45.5,47.5,44.5,46.0,43.58871078491211,63327600.0
2025-04-11,GULF.BK,44.5,46.25,44.5,45.0,42.64112854003906,41245000.0
2025-04-16,GULF.BK,46.25,47.25,45.5,47.25,44.77318572998047,39982400.0
2025-04-17,GULF.BK,47.0,47.25,46.25,46.5,44.0625,25240600.0
2025-04-18,GULF.BK,46.5,47.0,46.25,46.75,44.29939651489258,17311000.0
2025-04-21,GULF.BK,46.5,47.0,44.5,44.5,42.16733932495117,23680300.0
2025-04-22,GULF.BK,43.5,45.75,43.0,45.5,43.11491775512695,34277400.0
2025-04-23,GULF.BK,46.25,46.25,45.25,45.5,43.11491775512695,27294400.0
2025-04-24,GULF.BK,45.25,45.5,44.0,44.75,42.404232025146484,22645600.0
2025-04-25,GULF.BK,45.25,46.25,45.0,45.5,43.11491775512695,18359700.0
2025-04-28,GULF.BK,45.25,46.0,45.25,45.75,43.35181427001953,10315600.0
2025-04-29,GULF.BK,46.25,47.5,45.75,47.25,44.77318572998047,26099500.0
2025-04-30,GULF.BK,47.5,49.0,47.25,49.0,46.43144989013672,35888200.0
2025-05-02,GULF.BK,49.75,50.25,47.75,48.0,45.48387145996094,32000800.0
2025-05-06,GULF.BK,48.0,48.75,47.25,47.25,44.77318572998047,27150700.0
2025-05-07,GULF.BK,48.0,50.0,48.0,50.0,47.379032135009766,37055700.0
2025-05-08,GULF.BK,50.0,50.5,49.25,49.25,46.6683464050293,29661800.0
2025-05-09,GULF.BK,49.5,50.5,48.5,50.25,47.615928649902344,37313200.0
2025-05-13,GULF.BK,51.0,51.25,49.5,49.5,46.905242919921875,24449200.0
2025-05-14,GULF.BK,49.75,50.0,48.75,48.75,46.194557189941406,18987600.0
2025-05-15,GULF.BK,49.0,49.25,47.5,47.75,45.24697494506836,24468300.0
2025-05-16,GULF.BK,48.75,48.75,47.75,48.5,45.95766067504883,20648400.0
