Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2016-04-11,KBANK.BK,160.0,160.5,159.0,159.5,115.42910766601562,5588900.0
2016-04-12,KBANK.BK,160.0,160.5,157.5,159.5,115.42910766601562,5623900.0
2016-04-18,KBANK.BK,160.0,162.5,159.5,162.5,117.60017395019531,12079600.0
2016-04-19,KBANK.BK,163.0,165.0,161.0,162.0,117.23835754394531,10811000.0
2016-04-20,KBANK.BK,162.0,162.0,158.5,161.0,116.51466369628906,7918100.0
2016-04-21,KBANK.BK,163.5,166.5,163.0,166.0,120.13312530517578,19797000.0
2016-04-22,KBANK.BK,165.0,165.5,162.0,162.0,117.23835754394531,8637800.0
2016-04-25,KBANK.BK,162.5,164.0,161.0,162.0,117.23835754394531,4746300.0
2016-04-26,KBANK.BK,162.5,165.0,161.5,163.5,118.32386779785156,6736600.0
2016-04-27,KBANK.BK,164.0,164.0,161.5,162.0,117.23835754394531,5530800.0
2016-04-28,KBANK.BK,164.0,164.0,162.0,162.0,117.23835754394531,7760600.0
2016-04-29,KBANK.BK,162.5,166.0,162.0,166.0,120.13312530517578,7848200.0
2016-05-03,KBANK.BK,166.5,167.0,164.5,165.0,119.40943908691406,5500600.0
2016-05-04,KBANK.BK,165.0,165.5,163.0,163.0,117.9620361328125,3111300.0
2016-05-09,KBANK.BK,162.5,163.5,161.5,163.0,117.9620361328125,4602500.0
2016-05-10,KBANK.BK,162.0,162.0,159.5,161.0,116.51466369628906,8663800.0
2016-05-11,KBANK.BK,160.5,161.0,158.0,158.0,114.34358978271484,13680400.0
2016-05-12,KBANK.BK,157.5,159.5,157.5,159.5,115.42910766601562,6796300.0
2016-05-13,KBANK.BK,159.0,162.0,159.0,159.0,115.0672607421875,5344400.0
2016-05-16,KBANK.BK,161.0,161.5,158.5,160.0,115.79095458984375,5361400.0
2016-05-17,KBANK.BK,161.0,164.0,161.0,163.5,118.32386779785156,6656100.0
2016-05-18,KBANK.BK,163.5,163.5,162.0,162.0,117.23835754394531,3029500.0
2016-05-19,KBANK.BK,162.0,163.0,159.0,159.0,115.0672607421875,6536700.0
2016-05-23,KBANK.BK,160.0,162.0,160.0,161.5,116.87649536132812,5935000.0
2016-05-24,KBANK.BK,162.0,162.5,160.5,161.5,116.87649536132812,2375600.0
2016-05-25,KBANK.BK,163.5,165.0,163.5,164.0,118.68570709228516,11322000.0
2016-05-26,KBANK.BK,164.5,166.0,164.5,166.0,120.13312530517578,4823200.0
2016-05-27,KBANK.BK,165.5,168.0,164.5,168.0,121.58048248291016,4578300.0
2016-05-30,KBANK.BK,170.0,173.0,169.5,173.0,125.19895935058594,10730100.0
2016-05-31,KBANK.BK,173.5,174.5,173.0,174.0,125.92267608642578,10394900.0
2016-06-01,KBANK.BK,174.0,175.0,172.0,173.0,125.19895935058594,6660800.0
2016-06-02,KBANK.BK,173.0,174.5,171.5,173.0,125.19895935058594,4096600.0
2016-06-03,KBANK.BK,174.5,176.0,174.0,175.5,127.00818634033203,4513800.0
2016-06-06,KBANK.BK,176.5,177.5,175.5,176.0,127.37004852294922,4156300.0
2016-06-07,KBANK.BK,178.0,179.0,176.5,176.5,127.73189544677734,5833700.0
2016-06-08,KBANK.BK,176.5,176.5,172.5,173.5,125.56083679199219,6310400.0
2016-06-09,KBANK.BK,175.0,175.0,170.5,170.5,123.38972473144531,5002300.0
2016-06-10,KBANK.BK,169.5,171.5,169.5,169.5,122.66607666015625,4438700.0
2016-06-13,KBANK.BK,167.5,167.5,165.0,165.5,119.771240234375,8461900.0
2016-06-14,KBANK.BK,165.5,167.5,165.5,167.0,120.85679626464844,5119800.0
2016-06-15,KBANK.BK,167.5,168.0,166.0,167.5,121.21867370605469,4744900.0
2016-06-16,KBANK.BK,166.5,166.5,162.0,162.5,117.60017395019531,8464100.0
2016-06-17,KBANK.BK,163.0,163.5,161.5,163.0,117.9620361328125,4969400.0
2016-06-20,KBANK.BK,162.0,162.5,160.0,161.0,116.51466369628906,10335800.0
2016-06-21,KBANK.BK,161.0,164.0,161.0,164.0,118.68570709228516,5119600.0
2016-06-22,KBANK.BK,166.0,166.0,163.5,164.0,118.68570709228516,5629700.0
2016-06-23,KBANK.BK,164.0,169.0,163.5,169.0,122.30422973632812,7152400.0
2016-06-24,KBANK.BK,163.5,166.0,162.0,166.0,120.13312530517578,19123900.0
2016-06-27,KBANK.BK,165.0,169.5,164.5,167.0,120.85679626464844,7879600.0
2016-06-28,KBANK.BK,167.5,169.5,167.0,169.5,122.66607666015625,6994200.0
2016-06-29,KBANK.BK,171.5,174.5,170.5,174.5,126.2845458984375,15251900.0
2016-06-30,KBANK.BK,175.5,175.5,169.0,170.0,123.02789306640625,11933200.0
2016-07-04,KBANK.BK,174.0,178.0,173.5,177.5,128.45558166503906,20867300.0
2016-07-05,KBANK.BK,177.0,180.0,176.5,179.5,129.90296936035156,11868100.0
2016-07-06,KBANK.BK,177.5,178.5,176.5,177.5,128.45558166503906,5990900.0
2016-07-07,KBANK.BK,178.5,179.5,177.0,177.0,128.09375,4278600.0
2016-07-08,KBANK.BK,176.0,176.5,171.5,175.0,126.64634704589844,8765500.0
2016-07-11,KBANK.BK,177.5,179.0,177.5,178.5,129.1792755126953,6120500.0
2016-07-12,KBANK.BK,180.5,181.0,177.0,178.5,129.1792755126953,8407700.0
2016-07-13,KBANK.BK,178.5,179.0,176.0,177.0,128.09375,7447000.0
2016-07-14,KBANK.BK,177.5,179.0,176.0,178.5,129.1792755126953,6160600.0
2016-07-15,KBANK.BK,179.0,180.5,178.5,180.0,130.26483154296875,10764400.0
2016-07-20,KBANK.BK,181.5,182.5,181.0,182.0,131.7122344970703,10400500.0
2016-07-21,KBANK.BK,182.0,182.5,181.0,182.0,131.7122344970703,5709600.0
2016-07-22,KBANK.BK,180.0,180.0,177.5,179.0,129.54116821289062,8100800.0
2016-07-25,KBANK.BK,179.0,181.0,177.5,181.0,130.98855590820312,6033500.0
2016-07-26,KBANK.BK,181.0,182.0,179.5,179.5,129.90296936035156,9474600.0
2016-07-27,KBANK.BK,181.0,184.0,180.5,184.0,133.1596221923828,8200800.0
2016-07-28,KBANK.BK,185.5,195.0,184.0,195.0,141.12022399902344,26250800.0
2016-07-29,KBANK.BK,195.0,199.0,193.5,197.5,142.92947387695312,16843900.0
2016-08-01,KBANK.BK,197.5,201.0,193.0,195.0,141.12022399902344,13880300.0
2016-08-02,KBANK.BK,193.0,194.0,190.5,191.0,138.22544860839844,8124300.0
2016-08-03,KBANK.BK,190.0,194.0,189.5,193.0,139.6728515625,10798500.0
2016-08-04,KBANK.BK,192.5,192.5,189.0,189.0,136.77806091308594,6512000.0
2016-08-05,KBANK.BK,189.0,191.0,188.0,190.5,137.8636016845703,9327300.0
2016-08-08,KBANK.BK,196.5,201.0,196.0,200.0,144.7386932373047,27159600.0
2016-08-09,KBANK.BK,200.0,203.0,196.5,201.0,145.46238708496094,15478700.0
2016-08-10,KBANK.BK,201.0,203.0,198.0,200.0,144.7386932373047,10181700.0
2016-08-11,KBANK.BK,199.5,202.0,199.0,199.5,144.3768768310547,12079100.0
2016-08-15,KBANK.BK,198.5,202.0,198.5,200.0,144.7386932373047,10077000.0
2016-08-16,KBANK.BK,201.0,202.0,197.0,197.5,142.92947387695312,8533200.0
