Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2021-02-11,OR.BK,26.5,29.5,22.100000381469727,29.25,25.475543975830078,1818125500.0
2021-02-15,OR.BK,30.75,36.5,30.5,34.0,29.612598419189453,1149682700.0
2021-02-16,OR.BK,35.0,35.0,32.0,32.75,28.523900985717773,479377100.0
2021-02-17,OR.BK,31.5,32.5,29.5,29.5,25.69328498840332,338385400.0
2021-02-18,OR.BK,30.25,31.5,29.75,30.25,26.34650230407715,280945100.0
2021-02-19,OR.BK,31.0,31.5,30.0,31.5,27.435205459594727,221276300.0
2021-02-22,OR.BK,32.25,32.5,31.25,31.75,27.652942657470703,175380100.0
2021-02-23,OR.BK,32.0,32.25,30.75,31.0,26.999723434448242,184256000.0
2021-02-24,OR.BK,30.75,31.25,30.0,30.75,26.781980514526367,156591000.0
2021-02-25,OR.BK,31.0,31.5,29.5,29.5,25.69328498840332,436978200.0
2021-03-01,OR.BK,29.25,30.0,28.5,29.5,25.69328498840332,138645300.0
2021-03-02,OR.BK,29.0,29.75,28.75,29.25,25.475543975830078,96852000.0
2021-03-03,OR.BK,29.5,30.0,29.0,29.75,25.91102409362793,107158800.0
2021-03-04,OR.BK,29.5,29.75,29.25,29.75,25.91102409362793,79489200.0
2021-03-05,OR.BK,29.75,31.25,29.75,30.25,26.34650230407715,183251300.0
2021-03-08,OR.BK,30.5,30.75,29.5,29.75,25.91102409362793,113311000.0
2021-03-09,OR.BK,29.75,30.25,29.5,29.75,25.91102409362793,64545400.0
2021-03-10,OR.BK,29.5,30.5,29.5,30.5,26.56424331665039,130051100.0
2021-03-11,OR.BK,31.0,31.0,30.0,30.25,26.34650230407715,74421600.0
2021-03-12,OR.BK,30.0,30.25,29.5,30.25,26.34650230407715,90126700.0
2021-03-15,OR.BK,30.0,30.25,29.75,30.0,26.128765106201172,44782100.0
2021-03-16,OR.BK,30.0,30.25,29.75,29.75,25.9976806640625,27863800.0
2021-03-17,OR.BK,30.0,33.0,29.75,33.0,28.837764739990234,379372800.0
2021-03-18,OR.BK,33.25,33.5,32.25,33.0,28.837764739990234,143643000.0
2021-03-19,OR.BK,32.5,33.0,31.5,32.0,27.963895797729492,138127800.0
2021-03-22,OR.BK,31.75,32.0,30.75,31.75,27.745424270629883,111719700.0
2021-03-23,OR.BK,32.75,33.0,31.75,32.25,28.182361602783203,143290300.0
2021-03-24,OR.BK,32.0,33.0,31.75,33.0,28.837764739990234,151559700.0
2021-03-25,OR.BK,33.0,33.5,32.0,32.0,27.963895797729492,152526000.0
2021-03-26,OR.BK,32.25,32.75,31.75,32.75,28.619298934936523,75549200.0
2021-03-29,OR.BK,32.75,33.0,32.25,32.75,28.619298934936523,42527400.0
2021-03-30,OR.BK,32.75,32.75,32.0,32.5,28.400829315185547,58296300.0
2021-03-31,OR.BK,32.5,32.75,32.0,32.25,28.182361602783203,52500600.0
2021-04-01,OR.BK,32.25,32.75,32.25,32.25,28.182361602783203,44728300.0
2021-04-02,OR.BK,32.25,32.75,32.0,32.25,28.182361602783203,46369600.0
2021-04-05,OR.BK,32.25,32.5,31.5,31.75,27.745424270629883,43836000.0
2021-04-07,OR.BK,31.5,31.75,31.0,31.25,27.30849266052246,52073600.0
2021-04-08,OR.BK,31.25,31.75,31.0,31.5,27.526962280273438,43692900.0
2021-04-09,OR.BK,31.5,31.75,30.75,31.0,27.090023040771484,53156300.0
2021-04-12,OR.BK,30.75,30.75,30.25,30.25,26.43461799621582,33425700.0
2021-04-16,OR.BK,30.5,30.5,29.75,30.5,26.653087615966797,62477200.0
2021-04-19,OR.BK,30.5,31.0,30.25,30.75,26.871551513671875,36415100.0
2021-04-20,OR.BK,30.5,30.75,30.0,30.25,26.43461799621582,47373500.0
2021-04-21,OR.BK,30.0,30.5,30.0,30.25,26.43461799621582,16878000.0
2021-04-22,OR.BK,30.25,30.5,30.0,30.0,26.21615219116211,33233000.0
2021-04-23,OR.BK,30.0,30.25,29.75,30.0,26.21615219116211,28225200.0
2021-04-26,OR.BK,30.0,30.0,29.5,29.5,25.77921485900879,38268900.0
2021-04-27,OR.BK,29.5,30.0,29.25,29.75,25.9976806640625,44864200.0
2021-04-28,OR.BK,30.0,30.25,29.75,30.0,26.21615219116211,34751200.0
2021-04-29,OR.BK,30.0,30.75,30.0,30.75,26.871551513671875,49083000.0
2021-04-30,OR.BK,30.75,30.75,30.0,30.5,26.653087615966797,27832400.0
2021-05-05,OR.BK,30.25,30.25,29.5,29.5,25.77921485900879,58179900.0
2021-05-06,OR.BK,29.75,30.0,29.5,29.75,25.9976806640625,28525900.0
2021-05-07,OR.BK,29.75,30.0,29.5,29.75,25.9976806640625,24411000.0
2021-05-10,OR.BK,29.75,30.0,29.0,29.25,25.560745239257812,55446100.0
2021-05-11,OR.BK,29.25,29.5,28.75,29.0,25.3422794342041,46240000.0
2021-05-12,OR.BK,29.5,29.75,28.5,28.5,24.90534210205078,69385600.0
2021-05-13,OR.BK,28.0,28.75,27.5,28.5,24.90534210205078,69097200.0
2021-05-14,OR.BK,28.75,29.0,28.25,28.5,24.90534210205078,36635000.0
2021-05-17,OR.BK,28.25,28.75,28.0,28.25,24.68687629699707,35807700.0
2021-05-18,OR.BK,28.5,29.25,28.5,29.25,25.560745239257812,37234400.0
2021-05-19,OR.BK,29.0,29.5,29.0,29.25,25.560745239257812,25068700.0
2021-05-20,OR.BK,29.5,29.75,29.0,29.25,25.560745239257812,38446900.0
2021-05-21,OR.BK,29.5,29.5,29.0,29.5,25.77921485900879,25516500.0
2021-05-24,OR.BK,29.75,30.25,29.5,29.75,25.9976806640625,41397300.0
2021-05-25,OR.BK,30.0,30.25,29.75,30.0,26.21615219116211,23760600.0
2021-05-27,OR.BK,30.0,30.75,29.75,30.0,26.21615219116211,85248300.0
2021-05-28,OR.BK,30.25,30.75,30.0,30.25,26.43461799621582,43238300.0
2021-05-31,OR.BK,30.25,30.25,30.0,30.0,26.21615219116211,17945100.0
2021-06-01,OR.BK,30.25,32.0,30.0,32.0,27.963895797729492,139797700.0
2021-06-02,OR.BK,31.75,32.0,31.0,31.25,27.30849266052246,79986400.0
2021-06-04,OR.BK,31.25,31.5,31.0,31.25,27.30849266052246,25454200.0
2021-06-07,OR.BK,31.25,32.0,31.0,31.0,27.090023040771484,74439700.0
2021-06-08,OR.BK,31.0,31.25,30.0,30.0,26.21615219116211,56885600.0
2021-06-09,OR.BK,30.25,30.75,30.0,30.75,26.871551513671875,49612000.0
2021-06-10,OR.BK,31.0,31.25,30.25,30.25,26.43461799621582,44326800.0
2021-06-11,OR.BK,30.5,31.25,30.25,31.0,27.090023040771484,46296300.0
2021-06-14,OR.BK,31.25,31.25,30.5,31.25,27.30849266052246,44898200.0
2021-06-15,OR.BK,31.25,31.5,30.75,31.0,27.090023040771484,38978300.0
2021-06-16,OR.BK,31.0,31.5,30.75,31.25,27.30849266052246,54634200.0
2021-06-17,OR.BK,31.0,31.25,30.75,31.0,27.090023040771484,20793200.0
2021-06-18,OR.BK,31.0,31.25,30.75,31.25,27.30849266052246,131493400.0
2021-06-21,OR.BK,31.0,31.0,30.5,30.75,26.871551513671875,28457400.0
2021-06-22,OR.BK,31.0,31.25,30.5,30.75,26.871551513671875,23329500.0
2021-06-23,OR.BK,31.0,31.0,30.5,30.5,26.653087615966797,21214800.0
2021-06-24,OR.BK,30.5,30.5,30.0,30.25,26.43461799621582,29902000.0
2021-06-25,OR.BK,30.25,30.75,30.0,30.5,26.653087615966797,13936700.0
2021-06-28,OR.BK,30.25,30.5,29.75,30.0,26.21615219116211,24971500.0
2021-06-29,OR.BK,30.0,30.25,29.75,30.25,26.43461799621582,12295400.0
2021-06-30,OR.BK,30.25,30.75,30.25,30.5,26.653087615966797,24175000.0
2021-07-01,OR.BK,30.5,30.75,30.0,30.25,26.43461799621582,22246700.0
2021-07-02,OR.BK,30.25,30.5,29.75,30.0,26.21615219116211,27853900.0
2021-07-05,OR.BK,30.0,30.25,29.75,29.75,25.9976806640625,13209500.0
2021-07-06,OR.BK,30.0,30.25,29.75,30.0,26.21615219116211,13238200.0
2021-07-07,OR.BK,29.75,30.0,29.5,29.75,25.9976806640625,15771400.0
2021-07-08,OR.BK,29.5,29.75,29.0,29.0,25.3422794342041,30391500.0
2021-07-09,OR.BK,29.0,29.5,28.75,29.0,25.3422794342041,15189800.0
2021-07-12,OR.BK,29.25,29.5,28.75,29.0,25.3422794342041,20450500.0
2021-07-13,OR.BK,29.0,29.5,28.75,29.0,25.3422794342041,21329500.0
2021-07-14,OR.BK,29.25,29.25,28.75,29.0,25.3422794342041,16542500.0
2021-07-15,OR.BK,29.25,29.25,28.75,28.75,25.12381362915039,19211500.0
2021-07-16,OR.BK,28.75,29.25,28.5,28.75,25.12381362915039,16343500.0
2021-07-19,OR.BK,28.5,29.0,28.25,28.75,25.12381362915039,19979900.0
2021-07-20,OR.BK,28.5,28.75,28.25,28.5,24.90534210205078,24421800.0
2021-07-21,OR.BK,28.5,28.75,28.25,28.5,24.90534210205078,9912800.0
2021-07-22,OR.BK,28.75,29.0,28.25,28.5,24.90534210205078,20003200.0
2021-07-23,OR.BK,28.25,28.5,28.0,28.5,24.90534210205078,13511500.0
2021-07-27,OR.BK,28.5,28.75,28.25,28.75,25.12381362915039,18569100.0
2021-07-29,OR.BK,28.75,28.75,28.0,28.25,24.68687629699707,21719700.0
2021-07-30,OR.BK,28.0,28.25,27.5,27.75,24.249940872192383,29540700.0
2021-08-02,OR.BK,27.75,28.0,27.5,28.0,24.468406677246094,12234900.0
2021-08-03,OR.BK,27.75,28.75,27.75,28.5,24.90534210205078,17835500.0
2021-08-04,OR.BK,28.5,28.75,28.0,28.0,24.468406677246094,24269400.0
2021-08-05,OR.BK,28.25,28.25,27.75,28.0,24.468406677246094,15140800.0
2021-08-06,OR.BK,28.0,28.25,27.5,27.5,24.031471252441406,14291200.0
2021-08-09,OR.BK,27.75,28.5,27.5,28.25,24.68687629699707,19133100.0
2021-08-10,OR.BK,28.0,28.5,28.0,28.0,24.468406677246094,12317800.0
2021-08-11,OR.BK,28.5,28.5,28.0,28.25,24.68687629699707,11527000.0
2021-08-13,OR.BK,28.25,28.25,27.5,28.0,24.468406677246094,13875500.0
2021-08-16,OR.BK,28.0,28.25,27.5,28.0,24.468406677246094,18170700.0
2021-08-17,OR.BK,28.25,28.75,28.0,28.25,24.68687629699707,27542600.0
2021-08-18,OR.BK,28.25,29.0,28.25,28.75,25.12381362915039,29652500.0
2021-08-19,OR.BK,28.5,28.75,28.25,28.5,24.90534210205078,16723900.0
2021-08-20,OR.BK,28.75,29.25,28.5,29.0,25.3422794342041,48830100.0
2021-08-23,OR.BK,29.25,30.0,29.25,30.0,26.21615219116211,41690400.0
2021-08-24,OR.BK,30.0,30.25,29.0,29.5,25.77921485900879,104010200.0
2021-08-25,OR.BK,29.25,29.5,29.0,29.5,25.77921485900879,32550300.0
2021-08-26,OR.BK,29.5,29.5,29.0,29.5,25.77921485900879,28739500.0
2021-08-27,OR.BK,29.25,29.5,29.0,29.5,25.77921485900879,33911500.0
2021-08-30,OR.BK,29.75,30.25,29.5,30.0,26.21615219116211,49318800.0
2021-08-31,OR.BK,30.0,30.5,29.75,30.25,26.43461799621582,47574700.0
2021-09-01,OR.BK,30.5,30.5,29.75,30.0,26.21615219116211,40043900.0
2021-09-02,OR.BK,30.0,30.0,29.25,29.75,25.9976806640625,44372900.0
2021-09-03,OR.BK,29.5,29.75,29.25,29.25,25.560745239257812,27725600.0
2021-09-06,OR.BK,29.25,29.75,29.25,29.25,25.560745239257812,15964200.0
2021-09-07,OR.BK,29.5,29.75,29.0,29.25,25.560745239257812,33506900.0
2021-09-08,OR.BK,29.0,29.25,29.0,29.25,25.798891067504883,12138800.0
2021-09-09,OR.BK,29.0,29.5,28.75,28.75,25.357887268066406,22697800.0
2021-09-10,OR.BK,28.75,29.25,28.5,29.0,25.578388214111328,14241900.0
2021-09-13,OR.BK,29.0,29.25,28.75,29.0,25.578388214111328,18058900.0
2021-09-14,OR.BK,29.25,29.5,29.0,29.0,25.578388214111328,15329200.0
2021-09-15,OR.BK,29.0,29.25,28.75,29.0,25.578388214111328,28595700.0
2021-09-16,OR.BK,28.75,29.0,28.5,28.75,25.357887268066406,29646900.0
2021-09-17,OR.BK,29.0,29.0,28.5,29.0,25.578388214111328,26936200.0
2021-09-20,OR.BK,28.75,29.0,28.25,28.5,25.13738250732422,28922600.0
2021-09-21,OR.BK,28.5,28.75,28.25,28.25,24.91687774658203,32107300.0
2021-09-22,OR.BK,28.25,28.75,28.0,28.5,25.13738250732422,33186300.0
2021-09-23,OR.BK,28.25,28.75,28.25,28.5,25.13738250732422,17035600.0
2021-09-27,OR.BK,28.5,28.75,27.75,28.0,24.69637680053711,36024800.0
2021-09-28,OR.BK,28.25,28.25,27.75,27.75,24.475872039794922,27519000.0
2021-09-29,OR.BK,27.5,28.0,27.5,28.0,24.69637680053711,27593500.0
2021-09-30,OR.BK,27.75,28.0,27.5,27.5,24.255367279052734,28447200.0
2021-10-01,OR.BK,27.5,27.75,27.25,27.5,24.255367279052734,13347100.0
2021-10-04,OR.BK,27.75,28.0,27.5,27.5,24.255367279052734,16349600.0
2021-10-05,OR.BK,27.5,28.0,27.25,27.75,24.475872039794922,27516800.0
2021-10-06,OR.BK,28.0,28.5,27.75,28.0,24.69637680053711,42252700.0
2021-10-07,OR.BK,28.25,28.75,28.0,28.75,25.357887268066406,40957000.0
2021-10-08,OR.BK,29.0,29.25,28.5,28.75,25.357887268066406,45666300.0
2021-10-11,OR.BK,28.75,29.0,28.5,28.5,25.13738250732422,11097500.0
2021-10-12,OR.BK,29.0,29.0,28.25,28.5,25.13738250732422,21394200.0
2021-10-14,OR.BK,28.75,28.75,28.25,28.25,24.91687774658203,15040500.0
2021-10-15,OR.BK,28.25,28.75,28.25,28.5,25.13738250732422,11061100.0
2021-10-18,OR.BK,28.5,28.5,27.75,28.25,24.91687774658203,37541900.0
2021-10-19,OR.BK,28.25,28.25,27.5,27.75,24.475872039794922,37124400.0
2021-10-20,OR.BK,27.75,28.0,27.75,28.0,24.69637680053711,4077700.0
2021-10-21,OR.BK,28.0,28.0,27.75,27.75,24.475872039794922,5944200.0
2021-10-25,OR.BK,28.0,28.0,27.75,27.75,24.475872039794922,9229500.0
