Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2016-04-11,TCAP.BK,35.75,36.5,35.75,36.5,18.101903915405273,4390500.0
2016-04-12,TCAP.BK,35.25,35.5,35.0,35.5,18.153034210205078,3425700.0
2016-04-18,TCAP.BK,35.5,36.0,35.5,36.0,18.408710479736328,1797600.0
2016-04-19,TCAP.BK,36.0,36.5,35.75,36.0,18.408710479736328,3549100.0
2016-04-20,TCAP.BK,36.0,36.5,35.5,35.75,18.280879974365234,4230700.0
2016-04-21,TCAP.BK,36.0,36.5,35.75,36.5,18.664390563964844,3477600.0
2016-04-22,TCAP.BK,36.5,36.5,35.5,36.25,18.536556243896484,3441900.0
2016-04-25,TCAP.BK,36.0,36.25,35.5,36.0,18.408710479736328,3627200.0
2016-04-26,TCAP.BK,36.0,36.25,35.75,35.75,18.280879974365234,3550600.0
2016-04-27,TCAP.BK,35.75,36.0,35.75,35.75,18.280879974365234,1477500.0
2016-04-28,TCAP.BK,35.75,36.0,35.5,35.5,18.153034210205078,3466600.0
2016-04-29,TCAP.BK,35.5,35.5,34.75,34.75,17.769521713256836,6731500.0
2016-05-03,TCAP.BK,35.0,35.0,34.25,34.25,17.513845443725586,4852200.0
2016-05-04,TCAP.BK,34.5,34.5,34.0,34.5,17.64168357849121,3027900.0
2016-05-09,TCAP.BK,34.5,34.75,34.0,34.25,17.513845443725586,4241900.0
2016-05-10,TCAP.BK,34.25,34.5,33.5,34.0,17.386009216308594,5611800.0
2016-05-11,TCAP.BK,34.0,34.0,33.5,33.75,17.258169174194336,2935700.0
2016-05-12,TCAP.BK,33.75,34.75,33.5,34.5,17.64168357849121,2986700.0
2016-05-13,TCAP.BK,34.5,34.75,34.25,34.25,17.513845443725586,1512100.0
2016-05-16,TCAP.BK,34.75,35.0,34.25,34.75,17.769521713256836,2605100.0
2016-05-17,TCAP.BK,34.75,34.75,34.25,34.5,17.64168357849121,2272400.0
2016-05-18,TCAP.BK,34.5,34.75,34.0,34.5,17.64168357849121,3916200.0
2016-05-19,TCAP.BK,34.25,34.5,33.75,33.75,17.258169174194336,4403300.0
2016-05-23,TCAP.BK,33.75,34.0,33.5,33.5,17.130327224731445,2977800.0
2016-05-24,TCAP.BK,33.75,34.0,33.5,33.75,17.258169174194336,2661100.0
2016-05-25,TCAP.BK,34.0,34.0,33.5,34.0,17.386009216308594,6920900.0
2016-05-26,TCAP.BK,34.0,34.25,33.0,33.25,17.002492904663086,10033400.0
2016-05-27,TCAP.BK,33.5,33.5,33.25,33.25,17.002492904663086,3701100.0
2016-05-30,TCAP.BK,33.5,34.0,33.25,33.5,17.130327224731445,2813200.0
2016-05-31,TCAP.BK,33.75,34.0,33.5,34.0,17.386009216308594,3358000.0
2016-06-01,TCAP.BK,34.0,34.25,33.75,34.0,17.386009216308594,3007700.0
2016-06-02,TCAP.BK,33.75,34.5,33.75,34.25,17.513845443725586,2400800.0
2016-06-03,TCAP.BK,34.25,34.5,34.0,34.25,17.513845443725586,2212500.0
2016-06-06,TCAP.BK,34.5,34.5,34.25,34.5,17.64168357849121,2315500.0
2016-06-07,TCAP.BK,34.5,35.0,34.5,34.5,17.64168357849121,5268700.0
2016-06-08,TCAP.BK,34.5,34.5,34.0,34.25,17.513845443725586,3365100.0
2016-06-09,TCAP.BK,34.5,34.5,34.0,34.25,17.513845443725586,1613500.0
2016-06-10,TCAP.BK,34.25,34.5,34.0,34.5,17.64168357849121,2373600.0
2016-06-13,TCAP.BK,34.25,34.5,34.0,34.0,17.386009216308594,2396800.0
2016-06-14,TCAP.BK,34.0,34.75,34.0,34.75,17.769521713256836,1530200.0
2016-06-15,TCAP.BK,34.75,35.25,34.25,35.0,17.89735984802246,5694900.0
2016-06-16,TCAP.BK,34.75,34.75,33.75,34.0,17.386009216308594,6309300.0
2016-06-17,TCAP.BK,34.0,34.75,34.0,34.75,17.769521713256836,4931900.0
2016-06-20,TCAP.BK,34.75,35.0,34.5,34.75,17.769521713256836,2945300.0
2016-06-21,TCAP.BK,35.0,35.0,34.5,35.0,17.89735984802246,2297500.0
2016-06-22,TCAP.BK,35.0,35.0,34.5,34.5,17.64168357849121,901200.0
2016-06-23,TCAP.BK,34.75,35.0,34.5,35.0,17.89735984802246,2691900.0
2016-06-24,TCAP.BK,34.0,34.75,33.75,34.75,17.769521713256836,8678200.0
2016-06-27,TCAP.BK,34.5,35.0,34.25,34.75,17.769521713256836,1686500.0
2016-06-28,TCAP.BK,34.75,35.25,34.5,35.25,18.02519989013672,4444100.0
2016-06-29,TCAP.BK,35.25,36.0,35.0,35.75,18.280879974365234,6405200.0
2016-06-30,TCAP.BK,35.75,36.75,34.75,35.0,17.89735984802246,14011900.0
2016-07-04,TCAP.BK,35.25,36.0,34.75,35.5,18.153034210205078,16231000.0
2016-07-05,TCAP.BK,35.5,36.5,35.5,36.25,18.536556243896484,5131400.0
2016-07-06,TCAP.BK,36.0,37.0,36.0,36.75,18.79222869873047,5563100.0
2016-07-07,TCAP.BK,37.0,37.75,36.75,37.5,19.175748825073242,14420900.0
2016-07-08,TCAP.BK,37.75,38.5,37.5,38.0,19.431425094604492,11673700.0
2016-07-11,TCAP.BK,38.25,38.75,38.25,38.75,19.8149356842041,11185100.0
2016-07-12,TCAP.BK,38.75,39.25,38.25,39.0,19.94277572631836,7370000.0
2016-07-13,TCAP.BK,39.0,39.25,38.0,38.5,19.68709945678711,5780300.0
2016-07-14,TCAP.BK,38.5,38.75,38.0,38.25,19.55925941467285,7142200.0
2016-07-15,TCAP.BK,38.5,39.25,38.5,39.25,20.070613861083984,10336000.0
2016-07-20,TCAP.BK,39.5,40.25,39.25,39.75,20.3262882232666,12743300.0
2016-07-21,TCAP.BK,40.0,40.0,38.75,38.75,19.8149356842041,7535600.0
2016-07-22,TCAP.BK,38.75,39.25,38.75,39.25,20.070613861083984,6164400.0
2016-07-25,TCAP.BK,39.25,39.75,39.0,39.25,20.070613861083984,6529800.0
2016-07-26,TCAP.BK,39.5,40.0,39.0,40.0,20.454124450683594,8315200.0
2016-07-27,TCAP.BK,39.75,40.5,39.5,40.5,20.709806442260742,6810300.0
2016-07-28,TCAP.BK,40.5,40.5,40.0,40.0,20.454124450683594,5006100.0
2016-07-29,TCAP.BK,40.0,40.75,40.0,40.75,20.83763885498047,9525600.0
2016-08-01,TCAP.BK,40.75,40.75,40.0,40.25,20.581968307495117,5687100.0
2016-08-02,TCAP.BK,40.25,40.25,39.75,39.75,20.3262882232666,4852200.0
2016-08-03,TCAP.BK,39.75,40.25,39.75,40.0,20.454124450683594,3830200.0
2016-08-04,TCAP.BK,40.25,41.0,40.25,40.75,20.83763885498047,10788600.0
2016-08-05,TCAP.BK,40.5,41.0,40.5,40.5,20.709806442260742,3452700.0
2016-08-08,TCAP.BK,41.0,41.0,40.0,40.75,20.83763885498047,4954100.0
2016-08-09,TCAP.BK,40.75,40.75,40.25,40.75,20.83763885498047,5630800.0
2016-08-10,TCAP.BK,40.75,40.75,40.25,40.75,20.83763885498047,4166000.0
2016-08-11,TCAP.BK,40.75,40.75,40.0,40.5,20.709806442260742,4953800.0
2016-08-15,TCAP.BK,40.25,40.75,40.0,40.25,20.581968307495117,5006700.0
2016-08-16,TCAP.BK,40.5,40.5,38.5,39.0,19.94277572631836,9252000.0
2016-08-17,TCAP.BK,39.0,39.0,38.5,38.5,19.68709945678711,2481400.0
2016-08-18,TCAP.BK,38.75,39.5,38.5,39.0,19.94277572631836,7376500.0
2016-08-19,TCAP.BK,39.0,39.0,38.5,38.5,19.68709945678711,1262100.0
2016-08-22,TCAP.BK,38.5,39.0,38.5,39.0,19.94277572631836,1941500.0
2016-08-23,TCAP.BK,38.75,39.0,38.5,39.0,19.94277572631836,1309400.0
2016-08-24,TCAP.BK,39.0,39.5,38.75,39.5,20.198450088500977,2123400.0
2016-08-25,TCAP.BK,39.25,39.5,39.0,39.25,20.070613861083984,2291700.0
2016-08-26,TCAP.BK,39.25,39.75,39.0,39.25,20.070613861083984,2913200.0
2016-08-29,TCAP.BK,39.5,39.5,39.0,39.25,20.070613861083984,1215900.0
2016-08-30,TCAP.BK,39.25,40.5,39.25,39.75,20.3262882232666,4348700.0
2016-08-31,TCAP.BK,39.75,40.0,39.5,40.0,20.454124450683594,5331100.0
2016-09-01,TCAP.BK,40.0,40.25,39.5,39.75,20.3262882232666,2294700.0
2016-09-02,TCAP.BK,39.5,40.0,39.0,39.25,20.070613861083984,3070100.0
2016-09-05,TCAP.BK,39.25,39.25,38.0,38.25,19.55925941467285,6550400.0
2016-09-06,TCAP.BK,38.25,38.75,38.25,38.5,19.68709945678711,2418200.0
2016-09-07,TCAP.BK,38.5,39.25,38.5,38.75,19.8149356842041,4075800.0
2016-09-08,TCAP.BK,39.0,39.25,38.25,38.25,19.55925941467285,5212400.0
2016-09-09,TCAP.BK,38.25,39.0,38.0,38.5,19.68709945678711,4755600.0
2016-09-12,TCAP.BK,38.0,38.75,37.75,38.0,19.431425094604492,4902200.0
2016-09-13,TCAP.BK,38.5,39.25,38.25,39.0,19.94277572631836,8795500.0
2016-09-14,TCAP.BK,39.0,39.25,38.75,39.0,19.94277572631836,4006000.0
2016-09-15,TCAP.BK,39.0,40.25,39.0,40.0,20.454124450683594,7616900.0
2016-09-16,TCAP.BK,40.0,40.0,39.25,40.0,20.454124450683594,8581300.0
2016-09-19,TCAP.BK,40.25,40.25,39.75,40.0,20.454124450683594,1902500.0
2016-09-20,TCAP.BK,40.25,40.25,39.25,39.5,20.198450088500977,3839600.0
2016-09-21,TCAP.BK,39.75,40.75,39.75,40.5,20.709806442260742,4855900.0
2016-09-22,TCAP.BK,40.75,42.0,40.5,41.75,21.348989486694336,13433100.0
2016-09-23,TCAP.BK,41.75,42.5,41.0,42.25,21.604673385620117,10234200.0
2016-09-26,TCAP.BK,41.75,42.75,41.75,42.75,21.860353469848633,4099400.0
2016-09-27,TCAP.BK,42.5,42.5,41.25,41.5,21.22115707397461,5690700.0
2016-09-28,TCAP.BK,41.5,42.0,41.25,41.5,21.22115707397461,4033200.0
2016-09-29,TCAP.BK,41.75,41.75,41.25,41.75,21.348989486694336,2591300.0
2016-09-30,TCAP.BK,41.5,41.5,40.5,40.5,20.709806442260742,4444100.0
2016-10-03,TCAP.BK,41.0,41.75,40.75,41.75,21.348989486694336,3730500.0
2016-10-04,TCAP.BK,41.75,41.75,41.0,41.25,21.09332275390625,3414900.0
2016-10-05,TCAP.BK,41.5,41.5,40.5,41.25,21.09332275390625,7393500.0
2016-10-06,TCAP.BK,40.5,40.5,40.0,40.25,20.989028930664062,5318100.0
2016-10-07,TCAP.BK,40.25,40.75,40.0,40.75,21.249755859375,2084900.0
