Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2016-04-11,TR.BK,37.75,38.0,37.5,38.0,34.235774993896484,5500.0
2016-04-12,TR.BK,38.25,38.75,38.25,38.75,34.91147994995117,9000.0
2016-04-18,TR.BK,38.5,39.0,38.5,38.75,34.91147994995117,9000.0
2016-04-19,TR.BK,39.0,39.0,38.75,38.75,34.91147994995117,10700.0
2016-04-20,TR.BK,39.0,39.0,38.75,39.0,35.13671875,25500.0
2016-04-21,TR.BK,38.75,39.0,38.75,39.0,35.13671875,30400.0
2016-04-22,TR.BK,38.75,39.0,38.5,39.0,35.13671875,20600.0
2016-04-25,TR.BK,39.0,39.25,39.0,39.25,35.36195755004883,7200.0
2016-04-26,TR.BK,39.0,39.0,38.25,38.5,34.686248779296875,31100.0
2016-04-27,TR.BK,38.5,38.5,38.5,38.5,34.686248779296875,3300.0
2016-04-28,TR.BK,38.5,39.25,38.5,39.25,35.36195755004883,20700.0
2016-04-29,TR.BK,38.75,39.0,38.75,39.0,35.13671875,7200.0
2016-05-03,TR.BK,38.75,38.75,38.0,38.75,34.91147994995117,25300.0
2016-05-04,TR.BK,38.5,38.75,38.0,38.75,34.91147994995117,5500.0
2016-05-09,TR.BK,38.75,38.75,38.5,38.5,34.686248779296875,6000.0
2016-05-10,TR.BK,38.5,38.75,38.5,38.75,34.91147994995117,23500.0
2016-05-11,TR.BK,39.0,39.5,39.0,39.25,35.36195755004883,18500.0
2016-05-12,TR.BK,39.25,39.25,39.0,39.0,35.13671875,23500.0
2016-05-13,TR.BK,39.25,40.25,39.25,40.0,36.03765869140625,29000.0
2016-05-16,TR.BK,40.25,41.25,40.25,40.5,36.488136291503906,54200.0
2016-05-17,TR.BK,40.5,40.75,40.5,40.5,36.488136291503906,9700.0
2016-05-18,TR.BK,40.5,41.0,40.5,40.75,36.7133674621582,9500.0
2016-05-19,TR.BK,40.5,40.75,40.25,40.75,36.7133674621582,21600.0
2016-05-23,TR.BK,40.25,40.75,40.0,40.75,36.7133674621582,14800.0
