Ticker,First Date,Last Date,Days Coverage,Data Points,Missing Points,Completion %,10 Year Coverage
ADVANC.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
AKR.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
AOT.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
AP.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
ASAP.BK,2017-03-30,2026-04-10,3298,2193,0,100.0,False
ASIAN.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
AWC.BK,2019-10-10,2026-04-10,2374,1575,0,100.0,False
BANPU.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
BAY.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
BBL.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
BCH.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
BCPG.BK,2016-09-28,2026-04-10,3481,2317,0,100.0,False
BCT.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
BDMS.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
BEM.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
BGRIM.BK,2017-07-20,2026-04-10,3186,2120,0,100.0,False
BH.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
BJC.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
BRR.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
BTS.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
CBG.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
CCET.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
CENTEL.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
CGD.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
CHG.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
CIMBT.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
COM7.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
CPALL.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
CPF.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
CPN.BK,2016-04-11,2026-04-10,3651,2428,0,100.0,True
