Ticker,Price_Date,Statement_Date,Availability_Date,Period_Type,WACC_Mode,No_Lookahead_Pass,Days_Since_Available,Price,FCF,Shares,WACC,Net_Debt,Actual_Revenue_Growth,Implied_Growth_Rate,Signal_Score,Intrinsic_Value,Rebalance_Date,Universe_Count,Excluded_Count,End_Date,End_Price_Date,End_Price,Forward_Return,Benchmark_Return,Active_Return,Horizon_Months
AOT.BK,2024-09-30,2023-09-30,2023-11-14,annual,fixed,True,321,62.23675155639648,5269658894.0,14285700000.0,0.06,55384119007.0,1.907056030363309,0.47826385498046875,1.4287921753828403,62.236774663902494,2024-09-30,50,15,2025-03-30,2025-03-28,37.92250061035156,-0.39067352228389207,-0.18869019358714412,-0.20198332869674795,6
BBL.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,141.7274932861328,110058999000.0,1908843000.0,0.06,473061020000.0,0.2352337042234515,-0.2566699981689453,0.4919037023923968,141.7276274635257,2024-09-30,50,15,2025-03-30,2025-03-28,141.2566375732422,-0.003322260924632392,-0.18869019358714412,0.18536793266251173,6
MINT.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,27.508760452270508,29240934690.0,5479000000.0,0.06,183214623848.0,0.2237967270720304,-0.16257095336914062,0.38636768044117104,27.509167833379493,2024-09-30,50,15,2025-03-30,2025-03-28,25.80467796325684,-0.061946902041273844,-0.18869019358714412,0.12674329154587027,6
CPN.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,61.87828826904297,19898007759.0,4488000000.0,0.06,120154806799.0,0.2821903946987536,-0.05427837371826172,0.33646876841701534,61.878425237332024,2024-09-30,50,15,2025-03-30,2025-03-28,46.47528839111328,-0.24892414300405974,-0.18869019358714412,-0.06023394941691562,6
CCET.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,3.534690618515014,11651127561.0,6428153000.0,0.06,17417417506.0,-0.1238979823102164,-0.36944580078125,0.2455478184710336,3.5351227332263964,2024-09-30,50,15,2025-03-30,2025-03-28,5.869744777679443,0.6606106194791743,-0.18869019358714412,0.8493008130663184,6
OR.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,16.673603057861328,28829293622.0,12058768179.0,0.06,-15560274183.0,-0.0253790588577904,-0.2651100158691406,0.23973095701135022,16.673592641371147,2024-09-30,50,15,2025-03-30,2025-03-28,11.395051956176758,-0.3165813101923295,-0.18869019358714412,-0.12789111660518537,6
AWC.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,3.6511361598968506,2690072194.0,32013716000.0,0.06,70540783275.0,0.463910372843862,0.22454833984375,0.239362033000112,3.6515723451643955,2024-09-30,50,15,2025-03-30,2025-03-28,2.45340895652771,-0.32804232735132455,-0.18869019358714412,-0.13935213376418043,6
CENTEL.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,39.78829956054688,2807020487.0,1350000000.0,0.06,24586374912.0,0.231912841496547,0.014617919921875,0.217294921574672,39.78791201007643,2024-09-30,50,15,2025-03-30,2025-03-28,29.53610038757324,-0.25766869371666934,-0.18869019358714412,-0.06897850012952522,6
TISCO.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,89.17658996582031,7261251000.0,800655000.0,0.06,18471289000.0,0.0553973029748231,-0.14755630493164062,0.20295360790646372,89.17729538701316,2024-09-30,50,15,2025-03-30,2025-03-28,92.41098022460938,0.03626949920409306,-0.18869019358714412,0.22495969279123718,6
CPALL.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,63.774635314941406,58828831358.0,8983000000.0,0.06,360292526701.0,0.0798242383212359,-0.10013484954833984,0.17995908786957576,63.77439636684642,2024-09-30,50,15,2025-03-30,2025-03-28,48.68292999267578,-0.23664118575884463,-0.18869019358714412,-0.04795099217170051,6
