Ticker,Price_Date,Statement_Date,Availability_Date,Period_Type,WACC_Mode,No_Lookahead_Pass,Days_Since_Available,Price,FCF,Shares,WACC,Net_Debt,Actual_Revenue_Growth,Implied_Growth_Rate,Signal_Score,Intrinsic_Value,Rebalance_Date,Universe_Count,Excluded_Count
TTB.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,1.1584171056747437,46553409000.0,97094000000.0,0.06,128908496000.0,0.0,-0.3018798828125,0.3018798828125,1.1586609025634462,2023-03-31,50,20
IVL.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,31.07748413085937,49420150000.0,5614552000.0,0.06,233102181000.0,0.0,-0.22166824340820312,0.22166824340820312,31.07658717064569,2023-03-31,50,20
BBL.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,131.53057861328125,70786130000.0,1908843000.0,0.06,366617301000.0,0.0,-0.21160316467285156,0.21160316467285156,131.530705004958,2023-03-31,50,20
MINT.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,30.33477210998535,25119683220.0,5314000000.0,0.06,185830843779.0,0.0,-0.1267566680908203,0.1267566680908203,30.335444795817175,2023-03-31,50,20
ADVANC.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,178.1399383544922,38046594290.0,2974000000.0,0.06,119401689939.0,0.0,-0.08585977554321289,0.08585977554321289,178.14000837613148,2023-03-31,50,20
SCGP.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,42.377418518066406,10048042000.0,4296744444.0,0.06,40203034000.0,0.0,-0.033733367919921875,0.033733367919921875,42.378314714390754,2023-03-31,50,20
TOP.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,44.91173553466797,11142603471.0,2090000000.0,0.06,155444425356.0,0.0,-0.03141593933105469,0.03141593933105469,44.91159262841908,2023-03-31,50,20
CPALL.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,58.64326477050781,39616981354.0,8983000000.0,0.06,375458052407.0,0.0,-0.027776718139648438,0.027776718139648438,58.64332024655337,2023-03-31,50,20
EGCO.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,131.3135528564453,6318215000.0,526465000.0,0.06,77952903000.0,0.0,-0.023256301879882812,0.023256301879882812,131.3129453183136,2023-03-31,50,20
BJC.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,35.06106185913086,12572607944.0,4007797000.0,0.06,160517182412.0,0.0,-0.017436981201171875,0.017436981201171875,35.06058499445694,2023-03-31,50,20
RATCH.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,32.65459442138672,5118758527.0,1833356000.0,0.06,64633962964.0,0.0,-0.0141754150390625,0.0141754150390625,32.6548665694713,2023-03-31,50,20
CPN.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,61.73620223999024,15269084662.0,4488000000.0,0.06,125369353404.0,0.0,0.00262451171875,-0.00262451171875,61.73598975891902,2023-03-31,50,20
TISCO.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,77.51866912841797,2847960000.0,800655000.0,0.06,16329130000.0,0.0,0.01180267333984375,-0.01180267333984375,77.51912427213,2023-03-31,50,20
BDMS.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,26.528017044067383,15193937714.0,15892001895.0,0.06,10925860190.0,0.0,0.018932342529296875,-0.018932342529296875,26.527792500313407,2023-03-31,50,20
GLOBAL.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,15.56854248046875,3390665858.0,5602019360.0,0.06,13109981381.0,0.0,0.0272064208984375,-0.0272064208984375,15.568616661978316,2023-03-31,50,20
LH.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,8.053043365478516,5080856407.0,11949713000.0,0.06,57788071876.0,0.0,0.0324249267578125,-0.0324249267578125,8.054040786986477,2023-03-31,50,20
CENTEL.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,54.15942001342773,3030643929.0,1350000000.0,0.06,19343741935.0,0.0,0.033786773681640625,-0.033786773681640625,54.160037211685,2023-03-31,50,20
BH.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,203.05816650390625,4992015958.0,867415000.0,0.06,-2027844871.0,0.0,0.06295204162597656,-0.06295204162597656,203.058113780062,2023-03-31,50,20
BEM.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,8.253071784973145,5153639899.0,15226153394.0,0.06,68826149362.0,0.0,0.0804443359375,-0.0804443359375,8.2537089917367,2023-03-31,50,20
HMPRO.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,12.828646659851074,4364554238.0,13151198000.0,0.06,15913326725.0,0.0,0.10614776611328125,-0.10614776611328125,12.828528470999622,2023-03-31,50,20
BANPU.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,8.655391693115234,1547683000.0,7842236000.0,0.06,3913516000.0,0.0,0.1272735595703125,-0.1272735595703125,8.655175441285843,2023-03-31,50,20
KCE.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,39.80587768554688,1013810204.0,1182336000.0,0.06,2680201406.0,0.0,0.14031982421875,-0.14031982421875,39.8068654942749,2023-03-31,50,20
TCAP.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,37.48833465576172,1807193000.0,1048617000.0,0.06,59311663000.0,0.0,0.1653308868408203,-0.1653308868408203,37.48803949498628,2023-03-31,50,20
CBG.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,90.16448211669922,1685918740.0,1000000000.0,0.06,6343622312.0,0.0,0.17672061920166016,-0.17672061920166016,90.16448170732717,2023-03-31,50,20
COM7.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,26.84315490722656,1150427104.0,2399998000.0,0.06,4802945718.0,0.0,0.18871688842773438,-0.18871688842773438,26.84292363774463,2023-03-31,50,20
PTT.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,25.956132888793945,18454283626.0,28562996250.0,0.06,853538674343.0,0.0,0.2788219451904297,-0.2788219451904297,25.956109841994845,2023-03-31,50,20
OSP.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,26.160703659057617,812938995.0,3021514661.0,0.06,797004990.0,0.0,0.31200408935546875,-0.31200408935546875,26.161076104078045,2023-03-31,50,20
CPF.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,19.19433212280273,5899058000.0,7936000000.0,0.06,487603899000.0,0.0,0.3383026123046875,-0.3383026123046875,19.193423920611306,2023-03-31,50,20
TU.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,12.17655086517334,530636000.0,4655133000.0,0.06,48115500000.0,0.0,0.5067367553710938,-0.5067367553710938,12.176049285299335,2023-03-31,50,20
DELTA.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,112.56273651123048,5658787941.0,12474000000.0,0.06,-8200250501.0,0.0,0.573822021484375,-0.573822021484375,112.56332182905614,2023-03-31,50,20
TTB.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,1.3124414682388306,46553409000.0,97094000000.0,0.06,128908496000.0,0.0,-0.291717529296875,0.291717529296875,1.3127899820432183,2023-06-30,50,20
IVL.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,31.46158599853516,49420150000.0,5614552000.0,0.06,233102181000.0,0.0,-0.22072982788085938,0.22072982788085938,31.460817066112394,2023-06-30,50,20
BBL.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,141.1476593017578,70786130000.0,1908843000.0,0.06,366617301000.0,0.0,-0.20635104179382324,0.20635104179382324,141.14769162163466,2023-06-30,50,20
MINT.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,32.4779167175293,25119683220.0,5314000000.0,0.06,185830843779.0,0.0,-0.12058830261230469,0.12058830261230469,32.477281201639094,2023-06-30,50,20
ADVANC.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,179.8204803466797,38046594290.0,2974000000.0,0.06,119401689939.0,0.0,-0.0843505859375,0.0843505859375,179.81980625104146,2023-06-30,50,20
SCGP.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,34.39126205444336,10048042000.0,4296744444.0,0.06,40203034000.0,0.0,-0.06763076782226562,0.06763076782226562,34.39094262975842,2023-06-30,50,20
TOP.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,37.85417938232422,11142603471.0,2090000000.0,0.06,155444425356.0,0.0,-0.04386711120605469,0.04386711120605469,37.854313449043765,2023-06-30,50,20
EGCO.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,110.20204162597656,6318215000.0,526465000.0,0.06,77952903000.0,0.0,-0.03937530517578125,0.03937530517578125,110.202575040298,2023-06-30,50,20
CPALL.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,59.8089599609375,39616981354.0,8983000000.0,0.06,375458052407.0,0.0,-0.025402069091796875,0.025402069091796875,59.80838258056214,2023-06-30,50,20
BJC.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,32.38924026489258,12572607944.0,4007797000.0,0.06,160517182412.0,0.0,-0.024921417236328125,0.024921417236328125,32.39020049904175,2023-06-30,50,20
RATCH.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,30.32212448120117,5118758527.0,1833356000.0,0.06,64633962964.0,0.0,-0.021419525146484375,0.021419525146484375,30.32264039623525,2023-06-30,50,20
CPN.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,58.8177604675293,15269084662.0,4488000000.0,0.06,125369353404.0,0.0,-0.004322052001953125,0.004322052001953125,58.81806592165561,2023-06-30,50,20
GLOBAL.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,13.296377182006836,3390665858.0,5602019360.0,0.06,13109981381.0,0.0,-0.0015869140625,0.0015869140625,13.295852944489848,2023-06-30,50,20
BDMS.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,24.95432472229004,15193937714.0,15892001895.0,0.06,10925860190.0,0.0,0.006298065185546875,-0.006298065185546875,24.95424162673705,2023-06-30,50,20
CENTEL.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,47.8730583190918,3030643929.0,1350000000.0,0.06,19343741935.0,0.0,0.013193130493164062,-0.013193130493164062,47.873195548542675,2023-06-30,50,20
LH.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,7.169848442077637,5080856407.0,11949713000.0,0.06,57788071876.0,0.0,0.0172271728515625,-0.0172271728515625,7.1707808519439356,2023-06-30,50,20
TISCO.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,81.12169647216797,2847960000.0,800655000.0,0.06,16329130000.0,0.0,0.019487380981445312,-0.019487380981445312,81.12268623717326,2023-06-30,50,20
BH.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,203.05816650390625,4992015958.0,867415000.0,0.06,-2027844871.0,0.0,0.06295204162597656,-0.06295204162597656,203.058113780062,2023-06-30,50,20
BEM.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,7.973306655883789,5153639899.0,15226153394.0,0.06,68826149362.0,0.0,0.07550048828125,-0.07550048828125,7.973352651423786,2023-06-30,50,20
CBG.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,61.67910385131836,1685918740.0,1000000000.0,0.06,6343622312.0,0.0,0.09543609619140625,-0.09543609619140625,61.67852671154499,2023-06-30,50,20
BANPU.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,7.616698265075684,1547683000.0,7842236000.0,0.06,3913516000.0,0.0,0.099761962890625,-0.099761962890625,7.617452079273551,2023-06-30,50,20
HMPRO.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,12.65951442718506,4364554238.0,13151198000.0,0.06,15913326725.0,0.0,0.10340118408203125,-0.10340118408203125,12.659849327271777,2023-06-30,50,20
KCE.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,34.30781936645508,1013810204.0,1182336000.0,0.06,2680201406.0,0.0,0.1080474853515625,-0.1080474853515625,34.30849102372583,2023-06-30,50,20
COM7.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,23.32274055480957,1150427104.0,2399998000.0,0.06,4802945718.0,0.0,0.15764617919921875,-0.15764617919921875,23.321988353681693,2023-06-30,50,20
TCAP.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,42.54250717163086,1807193000.0,1048617000.0,0.06,59311663000.0,0.0,0.1778106689453125,-0.1778106689453125,42.542513896216974,2023-06-30,50,20
PTT.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,27.60414123535156,18454283626.0,28562996250.0,0.06,853538674343.0,0.0,0.28630638122558594,-0.28630638122558594,27.604293247971377,2023-06-30,50,20
OSP.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,25.708881378173828,812938995.0,3021514661.0,0.06,797004990.0,0.0,0.3074836730957031,-0.3074836730957031,25.708981935511737,2023-06-30,50,20
CPF.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,18.147594451904297,5899058000.0,7936000000.0,0.06,487603899000.0,0.0,0.3348236083984375,-0.3348236083984375,18.14784972233323,2023-06-30,50,20
TU.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,11.14024829864502,530636000.0,4655133000.0,0.06,48115500000.0,0.0,0.4928436279296875,-0.4928436279296875,11.139392121047633,2023-06-30,50,20
DELTA.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,90.6810073852539,5658787941.0,12474000000.0,0.06,-8200250501.0,0.0,0.5081615447998047,-0.5081615447998047,90.68144230864749,2023-06-30,50,20
TTB.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,1.4479193687438965,46553409000.0,97094000000.0,0.06,128908496000.0,0.0,-0.283203125,0.283203125,1.4484410276430655,2023-10-02,50,20
IVL.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,24.08738136291504,49420150000.0,5614552000.0,0.06,233102181000.0,0.0,-0.23954391479492188,0.23954391479492188,24.08761223642699,2023-10-02,50,20
BBL.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,149.57601928710938,70786130000.0,1908843000.0,0.06,366617301000.0,0.0,-0.20185565948486328,0.20185565948486328,149.57547438347942,2023-10-02,50,20
MINT.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,30.09478759765625,25119683220.0,5314000000.0,0.06,185830843779.0,0.0,-0.12746047973632812,0.12746047973632812,30.094796704327305,2023-10-02,50,20
ADVANC.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,195.08372497558597,38046594290.0,2974000000.0,0.06,119401689939.0,0.0,-0.07106685638427734,0.07106685638427734,195.08435276756853,2023-10-02,50,20
SCGP.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,35.539451599121094,10048042000.0,4296744444.0,0.06,40203034000.0,0.0,-0.06244659423828125,0.06244659423828125,35.540167838717515,2023-10-02,50,20
EGCO.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,102.14225006103516,6318215000.0,526465000.0,0.06,77952903000.0,0.0,-0.04582405090332031,0.04582405090332031,102.14245685920717,2023-10-02,50,20
BJC.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,28.081430435180664,12572607944.0,4007797000.0,0.06,160517182412.0,0.0,-0.03750419616699219,0.03750419616699219,28.08108233736448,2023-10-02,50,20
TOP.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,42.91169357299805,11142603471.0,2090000000.0,0.06,155444425356.0,0.0,-0.034880638122558594,0.034880638122558594,42.91124308115518,2023-10-02,50,20
RATCH.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,26.89949607849121,5118758527.0,1833356000.0,0.06,64633962964.0,0.0,-0.03245735168457031,0.03245735168457031,26.898919259305416,2023-10-02,50,20
CPALL.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,58.13431167602539,39616981354.0,8983000000.0,0.06,375458052407.0,0.0,-0.02882099151611328,0.02882099151611328,58.13454943777159,2023-10-02,50,20
CPN.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,56.57280731201172,15269084662.0,4488000000.0,0.06,125369353404.0,0.0,-0.00980377197265625,0.00980377197265625,56.57218905586406,2023-10-02,50,20
BDMS.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,24.59579086303711,15193937714.0,15892001895.0,0.06,10925860190.0,0.0,0.00333404541015625,-0.00333404541015625,24.596367040748476,2023-10-02,50,20
CENTEL.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,45.45522689819336,3030643929.0,1350000000.0,0.06,19343741935.0,0.0,0.0048046112060546875,-0.0048046112060546875,45.455056744508454,2023-10-02,50,20
GLOBAL.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,13.885457038879396,3390665858.0,5602019360.0,0.06,13109981381.0,0.0,0.006195068359375,-0.006195068359375,13.884764794785562,2023-10-02,50,20
LH.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,6.73628568649292,5080856407.0,11949713000.0,0.06,57788071876.0,0.0,0.0093994140625,-0.0093994140625,6.736037544916801,2023-10-02,50,20
TISCO.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,84.0319595336914,2847960000.0,800655000.0,0.06,16329130000.0,0.0,0.025527000427246094,-0.025527000427246094,84.03231376875512,2023-10-02,50,20
BEM.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,7.553658485412598,5153639899.0,15226153394.0,0.06,68826149362.0,0.0,0.06792449951171875,-0.06792449951171875,7.55371638573849,2023-10-02,50,20
BANPU.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,7.100310802459717,1547683000.0,7842236000.0,0.06,3913516000.0,0.0,0.084930419921875,-0.084930419921875,7.100015050870871,2023-10-02,50,20
HMPRO.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,11.730825424194336,4364554238.0,13151198000.0,0.06,15913326725.0,0.0,0.0877685546875,-0.0877685546875,11.731638677429515,2023-10-02,50,20
BH.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,242.0563201904297,4992015958.0,867415000.0,0.06,-2027844871.0,0.0,0.1026458740234375,-0.1026458740234375,242.05629929199972,2023-10-02,50,20
CBG.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,77.11516571044922,1685918740.0,1000000000.0,0.06,6343622312.0,0.0,0.14238548278808594,-0.14238548278808594,77.11610229719815,2023-10-02,50,20
TCAP.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,42.75628662109375,1807193000.0,1048617000.0,0.06,59311663000.0,0.0,0.17832565307617188,-0.17832565307617188,42.75584356399279,2023-10-02,50,20
KCE.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,49.01528549194336,1013810204.0,1182336000.0,0.06,2680201406.0,0.0,0.1872406005859375,-0.1872406005859375,49.01535748363728,2023-10-02,50,20
COM7.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,27.2832088470459,1150427104.0,2399998000.0,0.06,4802945718.0,0.0,0.19237899780273438,-0.19237899780273438,27.28345010952243,2023-10-02,50,20
PTT.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,27.39813995361328,18454283626.0,28562996250.0,0.06,853538674343.0,0.0,0.28537940979003906,-0.28537940979003906,27.397999641028846,2023-10-02,50,20
