Ticker,Price_Date,Statement_Date,Availability_Date,Period_Type,WACC_Mode,No_Lookahead_Pass,Days_Since_Available,Price,FCF,Shares,WACC,Net_Debt,Actual_Revenue_Growth,Implied_Growth_Rate,Signal_Score,Intrinsic_Value,Rebalance_Date,Universe_Count,Excluded_Count
TTB.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,1.1584171056747437,46553409000.0,97094000000.0,0.08,128908496000.0,0.0,-0.2344970703125,0.2344970703125,1.1578439939054004,2023-03-31,50,20
IVL.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,31.07748413085937,49420150000.0,5614552000.0,0.08,233102181000.0,0.0,-0.14482688903808594,0.14482688903808594,31.076946825207653,2023-03-31,50,20
BBL.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,131.53057861328125,70786130000.0,1908843000.0,0.08,366617301000.0,0.0,-0.1336231231689453,0.1336231231689453,131.53004347278952,2023-03-31,50,20
MINT.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,30.33477210998535,25119683220.0,5314000000.0,0.08,185830843779.0,0.0,-0.039478302001953125,0.039478302001953125,30.334081861285743,2023-03-31,50,20
ADVANC.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,178.1399383544922,38046594290.0,2974000000.0,0.08,119401689939.0,0.0,0.005724430084228516,-0.005724430084228516,178.13955380955832,2023-03-31,50,20
SCGP.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,42.377418518066406,10048042000.0,4296744444.0,0.08,40203034000.0,0.0,0.06317520141601562,-0.06317520141601562,42.377625510728976,2023-03-31,50,20
TOP.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,44.91173553466797,11142603471.0,2090000000.0,0.08,155444425356.0,0.0,0.06572723388671875,-0.06572723388671875,44.91088712494215,2023-03-31,50,20
CPALL.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,58.64326477050781,39616981354.0,8983000000.0,0.08,375458052407.0,0.0,0.069732666015625,-0.069732666015625,58.643200478684875,2023-03-31,50,20
EGCO.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,131.3135528564453,6318215000.0,526465000.0,0.08,77952903000.0,0.0,0.0747065544128418,-0.0747065544128418,131.31386044182292,2023-03-31,50,20
BJC.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,35.06106185913086,12572607944.0,4007797000.0,0.08,160517182412.0,0.0,0.08110809326171875,-0.08110809326171875,35.06133680049074,2023-03-31,50,20
RATCH.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,32.65459442138672,5118758527.0,1833356000.0,0.08,64633962964.0,0.0,0.08469009399414062,-0.08469009399414062,32.65431314278541,2023-03-31,50,20
CPN.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,61.73620223999024,15269084662.0,4488000000.0,0.08,125369353404.0,0.0,0.10315513610839844,-0.10315513610839844,61.736474148936416,2023-03-31,50,20
TISCO.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,77.51866912841797,2847960000.0,800655000.0,0.08,16329130000.0,0.0,0.11323165893554688,-0.11323165893554688,77.51850220443505,2023-03-31,50,20
BDMS.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,26.528017044067383,15193937714.0,15892001895.0,0.08,10925860190.0,0.0,0.12105941772460938,-0.12105941772460938,26.52778784524622,2023-03-31,50,20
GLOBAL.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,15.56854248046875,3390665858.0,5602019360.0,0.08,13109981381.0,0.0,0.13013458251953125,-0.13013458251953125,15.568326160970765,2023-03-31,50,20
LH.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,8.053043365478516,5080856407.0,11949713000.0,0.08,57788071876.0,0.0,0.135833740234375,-0.135833740234375,8.052468016745253,2023-03-31,50,20
CENTEL.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,54.15942001342773,3030643929.0,1350000000.0,0.08,19343741935.0,0.0,0.13735580444335938,-0.13735580444335938,54.15994830107549,2023-03-31,50,20
BH.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,203.05816650390625,4992015958.0,867415000.0,0.08,-2027844871.0,0.0,0.16931629180908203,-0.16931629180908203,203.0571811472137,2023-03-31,50,20
BEM.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,8.253071784973145,5153639899.0,15226153394.0,0.08,68826149362.0,0.0,0.18845367431640625,-0.18845367431640625,8.253144064296826,2023-03-31,50,20
HMPRO.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,12.828646659851074,4364554238.0,13151198000.0,0.08,15913326725.0,0.0,0.216583251953125,-0.216583251953125,12.829281428269015,2023-03-31,50,20
BANPU.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,8.655391693115234,1547683000.0,7842236000.0,0.08,3913516000.0,0.0,0.239654541015625,-0.239654541015625,8.655553407174432,2023-03-31,50,20
KCE.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,39.80587768554688,1013810204.0,1182336000.0,0.08,2680201406.0,0.0,0.2538795471191406,-0.2538795471191406,39.80642682585075,2023-03-31,50,20
TCAP.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,37.48833465576172,1807193000.0,1048617000.0,0.08,59311663000.0,0.0,0.2811565399169922,-0.2811565399169922,37.488957235607955,2023-03-31,50,20
CBG.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,90.16448211669922,1685918740.0,1000000000.0,0.08,6343622312.0,0.0,0.2935619354248047,-0.2935619354248047,90.16411844256193,2023-03-31,50,20
COM7.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,26.84315490722656,1150427104.0,2399998000.0,0.08,4802945718.0,0.0,0.3066253662109375,-0.3066253662109375,26.842886672497748,2023-03-31,50,20
PTT.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,25.956132888793945,18454283626.0,28562996250.0,0.08,853538674343.0,0.0,0.40451812744140625,-0.40451812744140625,25.955750773214564,2023-03-31,50,20
OSP.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,26.160703659057617,812938995.0,3021514661.0,0.08,797004990.0,0.0,0.4404754638671875,-0.4404754638671875,26.161155554911485,2023-03-31,50,20
CPF.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,19.19433212280273,5899058000.0,7936000000.0,0.08,487603899000.0,0.0,0.4689369201660156,-0.4689369201660156,19.194004118729055,2023-03-31,50,20
TU.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,12.17655086517334,530636000.0,4655133000.0,0.08,48115500000.0,0.0,0.6504974365234375,-0.6504974365234375,12.176404546025006,2023-03-31,50,20
DELTA.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,112.56273651123048,5658787941.0,12474000000.0,0.08,-8200250501.0,0.0,0.7224693298339844,-0.7224693298339844,112.5631938891704,2023-03-31,50,20
TTB.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,1.3124414682388306,46553409000.0,97094000000.0,0.08,128908496000.0,0.0,-0.22314453125,0.22314453125,1.311478057296456,2023-06-30,50,20
IVL.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,31.46158599853516,49420150000.0,5614552000.0,0.08,233102181000.0,0.0,-0.14377975463867188,0.14377975463867188,31.461943810837905,2023-06-30,50,20
BBL.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,141.1476593017578,70786130000.0,1908843000.0,0.08,366617301000.0,0.0,-0.12777948379516602,0.12777948379516602,141.14674456060047,2023-06-30,50,20
MINT.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,32.4779167175293,25119683220.0,5314000000.0,0.08,185830843779.0,0.0,-0.03264617919921875,0.03264617919921875,32.478334788163785,2023-06-30,50,20
ADVANC.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,179.8204803466797,38046594290.0,2974000000.0,0.08,119401689939.0,0.0,0.0073909759521484375,-0.0073909759521484375,179.82007568037338,2023-06-30,50,20
SCGP.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,34.39126205444336,10048042000.0,4296744444.0,0.08,40203034000.0,0.0,0.0258331298828125,-0.0258331298828125,34.390352485698365,2023-06-30,50,20
TOP.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,37.85417938232422,11142603471.0,2090000000.0,0.08,155444425356.0,0.0,0.05202293395996094,-0.05202293395996094,37.85475622428677,2023-06-30,50,20
EGCO.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,110.20204162597656,6318215000.0,526465000.0,0.08,77952903000.0,0.0,0.05696678161621094,-0.05696678161621094,110.20139010386788,2023-06-30,50,20
CPALL.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,59.8089599609375,39616981354.0,8983000000.0,0.08,375458052407.0,0.0,0.07234764099121094,-0.07234764099121094,59.80937756661602,2023-06-30,50,20
BJC.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,32.38924026489258,12572607944.0,4007797000.0,0.08,160517182412.0,0.0,0.07286834716796875,-0.07286834716796875,32.38833998003848,2023-06-30,50,20
RATCH.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,30.32212448120117,5118758527.0,1833356000.0,0.08,64633962964.0,0.0,0.07672500610351562,-0.07672500610351562,30.32232870846576,2023-06-30,50,20
CPN.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,58.8177604675293,15269084662.0,4488000000.0,0.08,125369353404.0,0.0,0.09552192687988281,-0.09552192687988281,58.81800148922174,2023-06-30,50,20
GLOBAL.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,13.296377182006836,3390665858.0,5602019360.0,0.08,13109981381.0,0.0,0.0985260009765625,-0.0985260009765625,13.295760113501037,2023-06-30,50,20
BDMS.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,24.95432472229004,15193937714.0,15892001895.0,0.08,10925860190.0,0.0,0.10718917846679688,-0.10718917846679688,24.954296607480483,2023-06-30,50,20
CENTEL.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,47.8730583190918,3030643929.0,1350000000.0,0.08,19343741935.0,0.0,0.11475944519042969,-0.11475944519042969,47.8731313320381,2023-06-30,50,20
LH.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,7.169848442077637,5080856407.0,11949713000.0,0.08,57788071876.0,0.0,0.119171142578125,-0.119171142578125,7.169917916141851,2023-06-30,50,20
TISCO.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,81.12169647216797,2847960000.0,800655000.0,0.08,16329130000.0,0.0,0.12166595458984375,-0.12166595458984375,81.12153493398809,2023-06-30,50,20
BH.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,203.05816650390625,4992015958.0,867415000.0,0.08,-2027844871.0,0.0,0.16931629180908203,-0.16931629180908203,203.0571811472137,2023-06-30,50,20
BEM.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,7.973306655883789,5153639899.0,15226153394.0,0.08,68826149362.0,0.0,0.18305206298828125,-0.18305206298828125,7.973222188006967,2023-06-30,50,20
CBG.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,61.67910385131836,1685918740.0,1000000000.0,0.08,6343622312.0,0.0,0.204864501953125,-0.204864501953125,61.67936497039439,2023-06-30,50,20
BANPU.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,7.616698265075684,1547683000.0,7842236000.0,0.08,3913516000.0,0.0,0.2095794677734375,-0.2095794677734375,7.6170869079171135,2023-06-30,50,20
HMPRO.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,12.65951442718506,4364554238.0,13151198000.0,0.08,15913326725.0,0.0,0.21356201171875,-0.21356201171875,12.659496372933692,2023-06-30,50,20
KCE.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,34.30781936645508,1013810204.0,1182336000.0,0.08,2680201406.0,0.0,0.2186431884765625,-0.2186431884765625,34.30810775282545,2023-06-30,50,20
COM7.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,23.32274055480957,1150427104.0,2399998000.0,0.08,4802945718.0,0.0,0.2727851867675781,-0.2727851867675781,23.322693004057733,2023-06-30,50,20
TCAP.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,42.54250717163086,1807193000.0,1048617000.0,0.08,59311663000.0,0.0,0.2947521209716797,-0.2947521209716797,42.54325580318099,2023-06-30,50,20
PTT.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,27.60414123535156,18454283626.0,28562996250.0,0.08,853538674343.0,0.0,0.4126319885253906,-0.4126319885253906,27.603849989524356,2023-06-30,50,20
OSP.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,25.708881378173828,812938995.0,3021514661.0,0.08,797004990.0,0.0,0.435577392578125,-0.435577392578125,25.708792507924976,2023-06-30,50,20
CPF.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,18.147594451904297,5899058000.0,7936000000.0,0.08,487603899000.0,0.0,0.46517181396484375,-0.46517181396484375,18.147891597167245,2023-06-30,50,20
TU.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,11.14024829864502,530636000.0,4655133000.0,0.08,48115500000.0,0.0,0.6355743408203125,-0.6355743408203125,11.14017599278981,2023-06-30,50,20
DELTA.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,90.6810073852539,5658787941.0,12474000000.0,0.08,-8200250501.0,0.0,0.6520195007324219,-0.6520195007324219,90.6804391155482,2023-06-30,50,20
TTB.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,1.4479193687438965,46553409000.0,97094000000.0,0.08,128908496000.0,0.0,-0.213623046875,0.213623046875,1.4469271671396697,2023-10-02,50,20
IVL.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,24.08738136291504,49420150000.0,5614552000.0,0.08,233102181000.0,0.0,-0.1647510528564453,0.1647510528564453,24.0868660893372,2023-10-02,50,20
BBL.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,149.57601928710938,70786130000.0,1908843000.0,0.08,366617301000.0,0.0,-0.12277841567993164,0.12277841567993164,149.5762060955731,2023-10-02,50,20
MINT.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,30.09478759765625,25119683220.0,5314000000.0,0.08,185830843779.0,0.0,-0.04025077819824219,0.04025077819824219,30.095398952606327,2023-10-02,50,20
ADVANC.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,195.08372497558597,38046594290.0,2974000000.0,0.08,119401689939.0,0.0,0.022046566009521484,-0.022046566009521484,195.08405909165091,2023-10-02,50,20
SCGP.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,35.539451599121094,10048042000.0,4296744444.0,0.08,40203034000.0,0.0,0.031543731689453125,-0.031543731689453125,35.53854670946683,2023-10-02,50,20
EGCO.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,102.14225006103516,6318215000.0,526465000.0,0.08,77952903000.0,0.0,0.04986715316772461,-0.04986715316772461,102.14268115948988,2023-10-02,50,20
BJC.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,28.081430435180664,12572607944.0,4007797000.0,0.08,160517182412.0,0.0,0.05902671813964844,-0.05902671813964844,28.080797403699613,2023-10-02,50,20
TOP.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,42.91169357299805,11142603471.0,2090000000.0,0.08,155444425356.0,0.0,0.061916351318359375,-0.061916351318359375,42.91168855678504,2023-10-02,50,20
RATCH.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,26.89949607849121,5118758527.0,1833356000.0,0.08,64633962964.0,0.0,0.06458282470703125,-0.06458282470703125,26.899003482037827,2023-10-02,50,20
CPALL.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,58.13431167602539,39616981354.0,8983000000.0,0.08,375458052407.0,0.0,0.06858253479003906,-0.06858253479003906,58.133917368306314,2023-10-02,50,20
CPN.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,56.57280731201172,15269084662.0,4488000000.0,0.08,125369353404.0,0.0,0.08949947357177734,-0.08949947357177734,56.572854681803754,2023-10-02,50,20
BDMS.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,24.59579086303711,15193937714.0,15892001895.0,0.08,10925860190.0,0.0,0.1039276123046875,-0.1039276123046875,24.595750601633394,2023-10-02,50,20
CENTEL.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,45.45522689819336,3030643929.0,1350000000.0,0.08,19343741935.0,0.0,0.10555267333984375,-0.10555267333984375,45.45614390986286,2023-10-02,50,20
GLOBAL.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,13.885457038879396,3390665858.0,5602019360.0,0.08,13109981381.0,0.0,0.107086181640625,-0.107086181640625,13.885507653828132,2023-10-02,50,20
LH.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,6.73628568649292,5080856407.0,11949713000.0,0.08,57788071876.0,0.0,0.1106109619140625,-0.1106109619140625,6.7368623805741175,2023-10-02,50,20
TISCO.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,84.0319595336914,2847960000.0,800655000.0,0.08,16329130000.0,0.0,0.1282949447631836,-0.1282949447631836,84.0318782522564,2023-10-02,50,20
BEM.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,7.553658485412598,5153639899.0,15226153394.0,0.08,68826149362.0,0.0,0.17474365234375,-0.17474365234375,7.552804401754825,2023-10-02,50,20
BANPU.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,7.100310802459717,1547683000.0,7842236000.0,0.08,3913516000.0,0.0,0.1933746337890625,-0.1933746337890625,7.100087384600367,2023-10-02,50,20
HMPRO.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,11.730825424194336,4364554238.0,13151198000.0,0.08,15913326725.0,0.0,0.19646453857421875,-0.19646453857421875,11.730997267733626,2023-10-02,50,20
BH.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,242.0563201904297,4992015958.0,867415000.0,0.08,-2027844871.0,0.0,0.21274375915527344,-0.21274375915527344,242.0572107029688,2023-10-02,50,20
CBG.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,77.11516571044922,1685918740.0,1000000000.0,0.08,6343622312.0,0.0,0.256134033203125,-0.256134033203125,77.1155344045239,2023-10-02,50,20
TCAP.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,42.75628662109375,1807193000.0,1048617000.0,0.08,59311663000.0,0.0,0.29531288146972656,-0.29531288146972656,42.75653897828126,2023-10-02,50,20
KCE.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,49.01528549194336,1013810204.0,1182336000.0,0.08,2680201406.0,0.0,0.305023193359375,-0.305023193359375,49.016265190399494,2023-10-02,50,20
COM7.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,27.2832088470459,1150427104.0,2399998000.0,0.08,4802945718.0,0.0,0.31060791015625,-0.31060791015625,27.28299724615738,2023-10-02,50,20
