Field,Missing_Count,Coverage_Pct,Zero_Count,Required_For_Reverse_DCF
Current_Price,0,100.0,0,True
FCF,0,100.0,1,True
Market_Cap,0,100.0,0,True
WACC,0,100.0,0,True
Beta,0,100.0,0,False
Company_Name,0,100.0,0,False
Cost_of_Debt,0,100.0,2,False
Cost_of_Equity,0,100.0,0,False
Current_Ratio,0,100.0,8,False
Debt_to_Equity,0,100.0,9,False
Dividend_Yield,0,100.0,2,False
EBIT,0,100.0,11,False
EPS,0,100.0,1,False
EV_EBITDA,0,100.0,11,False
Earnings_Growth,0,100.0,8,False
Fetched_Date,0,100.0,0,False
Industry,0,100.0,0,False
Operating_Margin,0,100.0,0,False
PB_Ratio,0,100.0,0,False
PE_Ratio,0,100.0,0,False
Payout_Ratio,0,100.0,3,False
Profit_Margin,0,100.0,0,False
ROA,0,100.0,1,False
ROE,0,100.0,1,False
Revenue,0,100.0,1,False
Revenue_Growth,0,100.0,1,False
Sector,0,100.0,0,False
Ticker,0,100.0,0,False
Total_Cash,0,100.0,0,False
Total_Debt,0,100.0,1,False
