Ticker,Annual_Years,Quarterly_Periods,Meets_Minimum,Ready_for_Analysis,4Y_CAGR,Recent_Trend,Health_Score,Overall_Health
ADVANC.BK,5,5,True,True,0.0684862804441504,improving,1.0,Strong
AOT.BK,5,6,True,True,0.5909024570848687,declining,0.8571428571428571,Strong
AWC.BK,5,6,True,True,0.2200988075486785,improving,0.8571428571428571,Strong
BANPU.BK,5,6,True,True,-0.11802445727735555,improving,0.8571428571428571,Strong
BBL.BK,5,6,True,True,0.09489187062280569,declining,0.5714285714285714,Moderate
BDMS.BK,5,6,True,True,0.06645595646314861,improving,1.0,Strong
BEM.BK,5,6,True,True,0.06434947139520397,declining,0.5714285714285714,Moderate
BGRIM.BK,5,6,True,True,-0.03893350603458323,declining,0.7142857142857143,Strong
BH.BK,5,6,True,True,0.067626706663523,improving,1.0,Strong
BJC.BK,5,6,True,True,0.008099571693691798,declining,0.8571428571428571,Strong
BTS.BK,4,6,True,True,-0.1108415052954268,improving,0.8571428571428571,Strong
CBG.BK,5,6,True,True,0.04681139750254659,declining,0.8571428571428571,Strong
CCET.BK,5,6,True,True,-0.0688473813713889,declining,0.8571428571428571,Strong
CENTEL.BK,5,6,True,True,0.11057504976040478,improving,1.0,Strong
COM7.BK,5,6,True,True,0.116258827002232,improving,1.0,Strong
CPALL.BK,5,6,True,True,0.06114117352203308,improving,1.0,Strong
CPF.BK,5,6,True,True,-0.02393910845106606,declining,0.7142857142857143,Strong
CPN.BK,5,6,True,True,0.12040559206311396,improving,1.0,Strong
DELTA.BK,5,5,True,True,0.18674371627003294,improving,1.0,Strong
EA.BK,5,6,True,True,-0.19761524376768913,declining,0.42857142857142855,Weak
EGCO.BK,5,6,True,True,-0.18665229837595676,declining,0.8571428571428571,Strong
GLOBAL.BK,5,6,True,True,-0.03595458144182584,improving,0.8571428571428571,Strong
GPSC.BK,5,5,True,True,-0.11782010059773973,declining,0.8571428571428571,Strong
GULF.BK,5,6,True,True,-1.0,improving,0.8571428571428571,Strong
HMPRO.BK,5,6,True,True,0.005340399373468641,improving,0.8571428571428571,Strong
IVL.BK,5,6,True,True,-0.11998794933984924,declining,0.5714285714285714,Moderate
KBANK.BK,5,6,True,True,0.04843927217569788,improving,0.7142857142857143,Strong
KCE.BK,5,6,True,True,-0.10855354985139254,declining,0.8571428571428571,Strong
KKP.BK,5,6,True,True,-0.025113493459110847,improving,0.5714285714285714,Moderate
KTB.BK,5,6,True,True,0.07882059703791877,declining,0.5714285714285714,Moderate
KTC.BK,5,6,True,True,0.06043633585981367,improving,0.8571428571428571,Strong
LH.BK,5,6,True,True,-0.15757888177370394,declining,0.5714285714285714,Moderate
MINT.BK,5,6,True,True,0.09591503664560475,improving,1.0,Strong
OR.BK,5,6,True,True,-0.05869294114508772,declining,0.8571428571428571,Strong
OSP.BK,5,6,True,True,-0.021291256414553095,declining,0.8571428571428571,Strong
PTT.BK,5,6,True,True,-0.07532850664791813,declining,0.8571428571428571,Strong
RATCH.BK,5,6,True,True,-0.28703348726875777,improving,0.8571428571428571,Strong
SAWAD.BK,5,6,True,True,0.11184236035905015,improving,0.7142857142857143,Strong
SCB.BK,4,4,True,True,,N/A,0.2857142857142857,Weak
SCC.BK,5,6,True,True,-0.04448346787798596,declining,0.8571428571428571,Strong
SCGP.BK,5,5,True,True,-0.05218276259035237,declining,0.8571428571428571,Strong
TCAP.BK,5,6,True,True,0.055165646731886175,declining,0.7142857142857143,Strong
TIDLOR.BK,2,6,False,False,0.057260103400775586,improving,0.8571428571428571,Strong
TISCO.BK,5,6,True,True,0.03306413595829949,improving,0.5714285714285714,Moderate
TLI.BK,5,6,True,True,-0.1992855242537862,declining,0.7142857142857143,Strong
TOP.BK,5,6,True,True,-0.07957107640635452,declining,0.8571428571428571,Strong
TRUE.BK,5,5,True,True,0.13148339384100272,declining,0.7142857142857143,Strong
TTB.BK,5,6,True,True,0.01717459797873344,declining,0.7142857142857143,Strong
TU.BK,5,5,True,True,-0.051610485931064765,improving,0.8571428571428571,Strong
VGI.BK,4,6,True,True,0.07741256673456931,declining,0.7142857142857143,Strong
