Ticker,Period_Type,Statement_Date,Availability_Date,Reporting_Lag_Days,Revenue,EBIT,FCF,Total_Debt,Total_Cash,Net_Debt,Shares_Issued,Diluted_Average_Shares,Revenue_Growth
BBL.BK,annual,2022-12-31,2023-02-14,45,145504281000.0,0.0,70786130000.0,419050000000.0,52432699000.0,366617301000.0,1908842894.0,1908843000.0,
BBL.BK,annual,2023-12-31,2024-02-14,45,179731792000.0,0.0,110058999000.0,518579000000.0,45517980000.0,473061020000.0,1908842894.0,1908843000.0,0.2352337042234515
BBL.BK,annual,2024-12-31,2025-02-14,45,187994583000.0,0.0,31089687000.0,536940000000.0,47363509000.0,489576491000.0,1908842894.0,1908843000.0,0.0459728961028775
BBL.BK,annual,2025-12-31,2026-02-14,45,190980693000.0,0.0,115419505000.0,538228000000.0,47560267000.0,490667733000.0,1908842894.0,1908843000.0,0.0158840215092792
KTB.BK,annual,2022-12-31,2023-02-14,45,124586989000.0,0.0,-67988269000.0,406206631000.0,492442792000.0,-86236161000.0,13976061250.0,13976000000.0,
KTB.BK,annual,2023-12-31,2024-02-14,45,148372075000.0,0.0,-14826888000.0,447376559000.0,55625890000.0,391750669000.0,13976061250.0,13976000000.0,0.1909114763179644
KTB.BK,annual,2024-12-31,2025-02-14,45,158278558000.0,0.0,131162797000.0,362352532000.0,435135721000.0,-72783189000.0,13976061250.0,13976000000.0,0.0667678402421749
KTB.BK,annual,2025-12-31,2026-02-14,45,156430120000.0,0.0,191465674000.0,373034692000.0,428962383000.0,-55927691000.0,13976061250.0,13976000000.0,-0.0116783853944385
SCB.BK,annual,2022-12-31,2023-02-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3376865000.0,
SCB.BK,annual,2023-12-31,2024-02-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3367107000.0,
SCB.BK,annual,2024-12-31,2025-02-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3367107000.0,
BAFS.BK,annual,2022-12-31,2023-02-14,45,2194376324.0,137611273.0,295124417.0,14876747718.0,522671577.0,14354076141.0,637496153.0,637496000.0,
BAFS.BK,annual,2023-12-31,2024-02-14,45,2976373434.0,498694761.0,870439976.0,13307978760.0,522576317.0,12785402443.0,637496153.0,637496000.0,0.3563641757556621
BAFS.BK,annual,2024-12-31,2025-02-14,45,3450727127.0,795996256.0,1004223979.0,12719365319.0,555374486.0,12163990833.0,637496153.0,637496000.0,0.1593730435775688
BAFS.BK,annual,2025-12-31,2026-02-14,45,3620341529.0,906263740.0,875715801.0,12829036021.0,419359653.0,12409676368.0,637496153.0,0.0,0.0491532351755266
CIMBT.BK,annual,2022-12-31,2023-02-14,45,12214352450.0,0.0,33617307161.0,88766430503.0,4027304924.0,84739125579.0,34822261748.0,34822261748.0,
CIMBT.BK,annual,2023-12-31,2024-02-14,45,12683814596.0,0.0,7729707169.0,118889550490.0,3467364960.0,115422185530.0,34822261748.0,34822261748.0,0.038435287332813
CIMBT.BK,annual,2024-12-31,2025-02-14,45,13368252982.0,0.0,625420604.0,96996045435.0,5571862156.0,91424183279.0,34822261748.0,34822261748.0,0.0539615571340696
CIMBT.BK,annual,2025-12-31,2026-02-14,45,12812034291.0,0.0,-4509384478.0,115559394229.0,3727277510.0,111832116719.0,34822261748.0,34822261748.0,-0.0416074330541869
KBANK.BK,annual,2022-12-31,2023-02-14,45,179984783000.0,0.0,-9466555000.0,159335000000.0,350427801000.0,-191092801000.0,2369327593.0,2369328000.0,
KBANK.BK,annual,2023-12-31,2024-02-14,45,204823952000.0,0.0,643250000.0,260779177000.0,48689687000.0,212089490000.0,2369327593.0,2369328000.0,0.1380070502960242
KBANK.BK,annual,2024-12-31,2025-02-14,45,209465171000.0,0.0,68766384000.0,186165000000.0,356679380000.0,-170514380000.0,2369327593.0,2369328000.0,0.022659552043015
KBANK.BK,annual,2025-12-31,2026-02-14,45,207427164000.0,0.0,210619919000.0,222783000000.0,386848688000.0,-164065688000.0,2369327593.0,2368484000.0,-0.0097295745649285
TTB.BK,annual,2022-12-31,2023-02-14,45,68831772000.0,0.0,46553409000.0,144414079000.0,15505583000.0,128908496000.0,96776073897.0,97094000000.0,
TTB.BK,annual,2023-12-31,2024-02-14,45,77142601000.0,0.0,-23014593000.0,132676492000.0,250304258000.0,-117627766000.0,97101487977.0,97291000000.0,0.1207411745843183
TTB.BK,annual,2024-12-31,2025-02-14,45,77088137000.0,0.0,14488698000.0,110601344000.0,247392968000.0,-136791624000.0,97404035255.0,97524000000.0,-0.0007060171590532
TTB.BK,annual,2025-12-31,2026-02-14,45,72439504000.0,0.0,108061570000.0,112017980000.0,141847873000.0,-29829893000.0,97571340379.0,95948000000.0,-0.060302832328144
PTT.BK,annual,2022-12-31,2023-02-14,45,3367203000000.0,247578028355.0,18454283626.0,1193592674343.0,340054000000.0,853538674343.0,28562996250.0,28562996250.0,
PTT.BK,annual,2023-12-31,2024-02-14,45,3144884000000.0,279897368979.0,204486768442.0,1161441776508.0,417134000000.0,744307776508.0,28562996250.0,28577520650.0,-0.0660248283219039
