Ticker,Period_Type,Statement_Date,Availability_Date,Reporting_Lag_Days,Revenue,EBIT,FCF,Total_Debt,Total_Cash,Net_Debt,Shares_Issued,Diluted_Average_Shares,Revenue_Growth
BBL.BK,annual,2022-12-31,2023-02-14,45,145504281000.0,0.0,70786130000.0,419050000000.0,52432699000.0,366617301000.0,1908842894.0,1908843000.0,
BBL.BK,annual,2023-12-31,2024-02-14,45,179731792000.0,0.0,110058999000.0,518579000000.0,45517980000.0,473061020000.0,1908842894.0,1908843000.0,0.2352337042234515
BBL.BK,annual,2024-12-31,2025-02-14,45,187994583000.0,0.0,31089687000.0,536940000000.0,47363509000.0,489576491000.0,1908842894.0,1908843000.0,0.0459728961028775
BBL.BK,annual,2025-12-31,2026-02-14,45,190980693000.0,0.0,115419505000.0,538228000000.0,47560267000.0,490667733000.0,1908842894.0,1908843000.0,0.0158840215092792
BBL.BK,quarterly,2024-09-30,2024-11-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1908843000.0,
BBL.BK,quarterly,2024-12-31,2025-02-14,45,47838217000.0,0.0,-50993265000.0,536940000000.0,47363509000.0,489576491000.0,1908842894.0,0.0,
BBL.BK,quarterly,2025-03-31,2025-05-15,45,48745590000.0,0.0,-9349814000.0,586784446000.0,44031276000.0,542753170000.0,1908842894.0,1908843000.0,0.018967533844332
BBL.BK,quarterly,2025-06-30,2025-08-14,45,47572105000.0,0.0,-54252792000.0,555092000000.0,37895587000.0,517196413000.0,1908842894.0,1908843000.0,-0.0240736649202523
BBL.BK,quarterly,2025-09-30,2025-11-14,45,50775018000.0,0.0,171583467000.0,521720002000.0,38176747000.0,483543255000.0,1908842894.0,1908843000.0,0.0673275441563916
BBL.BK,quarterly,2025-12-31,2026-02-14,45,43890343000.0,0.0,7438644000.0,538228000000.0,47560267000.0,490667733000.0,1908842894.0,0.0,-0.1355917786183749
KTB.BK,annual,2022-12-31,2023-02-14,45,124586989000.0,0.0,-67988269000.0,406206631000.0,492442792000.0,-86236161000.0,13976061250.0,13976000000.0,
KTB.BK,annual,2023-12-31,2024-02-14,45,148372075000.0,0.0,-14826888000.0,447376559000.0,55625890000.0,391750669000.0,13976061250.0,13976000000.0,0.1909114763179644
KTB.BK,annual,2024-12-31,2025-02-14,45,158278558000.0,0.0,131162797000.0,362352532000.0,435135721000.0,-72783189000.0,13976061250.0,13976000000.0,0.0667678402421749
KTB.BK,annual,2025-12-31,2026-02-14,45,156430120000.0,0.0,191465674000.0,373034692000.0,428962383000.0,-55927691000.0,13976061250.0,13976000000.0,-0.0116783853944385
KTB.BK,quarterly,2024-09-30,2024-11-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13916603571.0,
KTB.BK,quarterly,2024-12-31,2025-02-14,45,38583693000.0,0.0,76378584000.0,362352532000.0,435135721000.0,-72783189000.0,13976061250.0,0.0,
KTB.BK,quarterly,2025-03-31,2025-05-15,45,39378043000.0,0.0,-4615362000.0,391517165000.0,56779972000.0,334737193000.0,13976061250.0,13944878571.0,0.0205877130527656
KTB.BK,quarterly,2025-06-30,2025-08-14,45,39009670000.0,0.0,-12363785000.0,389373335000.0,498875317000.0,-109501982000.0,13976061250.0,13902505000.0,-0.009354781800609
KTB.BK,quarterly,2025-09-30,2025-11-14,45,41129274000.0,0.0,72096003000.0,407881559000.0,45234943000.0,362646616000.0,13976061250.0,13923904762.0,0.0543353481329116
KTB.BK,quarterly,2025-12-31,2026-02-14,45,36912249000.0,0.0,136348818000.0,373034692000.0,428962383000.0,-55927691000.0,13976061250.0,0.0,-0.1025309855943482
SCB.BK,annual,2022-12-31,2023-02-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3376865000.0,
SCB.BK,annual,2023-12-31,2024-02-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3367107000.0,
SCB.BK,annual,2024-12-31,2025-02-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3367107000.0,
SCB.BK,quarterly,2024-09-30,2024-11-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3366445846.0,
SCB.BK,quarterly,2025-03-31,2025-05-15,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3369836927.0,
SCB.BK,quarterly,2025-06-30,2025-08-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3364753947.0,
SCB.BK,quarterly,2025-09-30,2025-11-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3367667598.0,
BAFS.BK,annual,2022-12-31,2023-02-14,45,2194376324.0,137611273.0,295124417.0,14876747718.0,522671577.0,14354076141.0,637496153.0,637496000.0,
BAFS.BK,annual,2023-12-31,2024-02-14,45,2976373434.0,498694761.0,870439976.0,13307978760.0,522576317.0,12785402443.0,637496153.0,637496000.0,0.3563641757556621
BAFS.BK,annual,2024-12-31,2025-02-14,45,3450727127.0,795996256.0,1004223979.0,12719365319.0,555374486.0,12163990833.0,637496153.0,637496000.0,0.1593730435775688
BAFS.BK,annual,2025-12-31,2026-02-14,45,3620341529.0,906263740.0,875715801.0,12829036021.0,419359653.0,12409676368.0,637496153.0,0.0,0.0491532351755266
