Ticker,Annual_Count,Quarterly_Count,Total_Records,Date_Range,Missing_Data,Status
BBL.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
BJC.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
BJCHI.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
AP.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
LH.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
QH.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
PSL.BK,4,5,10,2021-12-31 to 2025-12-31,11 quarterly records,❌ INCOMPLETE
SPALI.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
CPI.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
KKP.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
BDMS.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
BH.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
CHG.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
EASTW.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
ERW.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
FPT.BK,4,6,11,2021-09-30 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
HMPRO.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
THANI.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
TU.BK,4,5,10,2021-12-31 to 2025-12-31,11 quarterly records,❌ INCOMPLETE
CPF.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
KTB.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
SCB.BK,3,4,8,2021-12-31 to 2025-09-30,"1 annual records, 12 quarterly records",❌ INCOMPLETE
BAFS.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
CIMBT.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
KBANK.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
TTB.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
PTT.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
GULF.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
PTTEP.BK,4,5,10,2021-12-31 to 2025-12-31,11 quarterly records,❌ INCOMPLETE
BCP.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
PTTGC.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
IRPC.BK,4,5,10,2021-12-31 to 2025-12-31,11 quarterly records,❌ INCOMPLETE
AOT.BK,4,6,11,2021-09-30 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
ADVANC.BK,4,5,10,2021-12-31 to 2025-12-31,11 quarterly records,❌ INCOMPLETE
TRUE.BK,4,5,10,2021-12-31 to 2025-12-31,11 quarterly records,❌ INCOMPLETE
THCOM.BK,4,5,10,2021-12-31 to 2025-12-31,11 quarterly records,❌ INCOMPLETE
TOP.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
PRIN.BK,4,6,11,2021-12-31 to 2025-12-31,10 quarterly records,❌ INCOMPLETE
