Ticker,Period_Type,Statement_Date,Availability_Date,Reporting_Lag_Days,Revenue,EBIT,FCF,Total_Debt,Total_Cash,Net_Debt,Shares_Issued,Diluted_Average_Shares,Revenue_Growth
ADVANC.BK,annual,2021-12-31,2022-02-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ADVANC.BK,annual,2022-12-31,2023-02-14,45,185484774901.0,37330750690.0,38046594290.0,128415689939.0,9014000000.0,119401689939.0,2974000000.0,2974000000.0,
ADVANC.BK,annual,2023-12-31,2024-02-14,45,188872910820.0,42003897523.0,36648784513.0,242383225668.0,14744000000.0,227639225668.0,2974000000.0,2974000000.0,0.018266382892118127
ADVANC.BK,annual,2024-12-31,2025-02-14,45,213569330968.0,52140989257.0,78605986846.0,213630407633.0,22607000000.0,191023407633.0,2974209736.0,2974000000.0,0.13075681441440912
ADVANC.BK,annual,2025-12-31,2026-02-14,45,226263821386.0,65425895724.0,73674265836.0,192214207600.0,25354000000.0,166860207600.0,2974209736.0,2974000000.0,0.059439669359183656
ADVANC.BK,quarterly,2024-09-30,2024-11-14,45,52208803000.0,12946859000.0,18289920000.0,224476258000.0,12975500000.0,211500758000.0,2974209736.0,2979026780.0,
ADVANC.BK,quarterly,2024-12-31,2025-02-14,45,56735523968.0,13494228257.0,23730280846.0,213630407633.0,22607000000.0,191023407633.0,2974209736.0,0.0,0.08670417071236058
ADVANC.BK,quarterly,2025-03-31,2025-05-15,45,56310847000.0,15245480000.0,22388737000.0,206551969000.0,35041783000.0,171510186000.0,2974209736.0,2972900562.0,-0.007485203948050745
ADVANC.BK,quarterly,2025-06-30,2025-08-14,45,56043824000.0,15619597000.0,13295703000.0,200070841000.0,20713701000.0,179357140000.0,2974209736.0,2976120596.0,-0.0047419460765703025
ADVANC.BK,quarterly,2025-12-31,2026-02-14,45,59547437386.0,17463745724.0,27098200836.0,192214207600.0,25354000000.0,166860207600.0,2974209736.0,0.0,0.062515601826171
AOT.BK,annual,2021-09-30,2021-11-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AOT.BK,annual,2022-09-30,2022-11-14,45,16560023141.0,-10933853344.0,-9743136135.0,61556819606.0,3797654593.0,57759165013.0,14285700000.0,14285700000.0,
AOT.BK,annual,2023-09-30,2023-11-14,45,48140915135.0,14197110044.0,5269658894.0,61475140931.0,6091021924.0,55384119007.0,14285700000.0,14285700000.0,1.907056030363309
AOT.BK,annual,2024-09-30,2024-11-14,45,67121304860.0,27302286441.0,27963852943.0,54229243393.0,18486836360.0,35742407033.0,14285700000.0,14285700000.0,0.39426732274976306
AOT.BK,annual,2025-09-30,2025-11-14,45,66679386770.0,25856390253.0,19814444114.0,50254532813.0,19401080655.0,30853452158.0,14285700000.0,14285700000.0,-0.006583872153882342
AOT.BK,quarterly,2024-09-30,2024-11-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AOT.BK,quarterly,2024-12-31,2025-02-14,45,17663909126.0,7553333911.0,3364562032.0,48759178036.0,15556142584.0,33203035452.0,14285700000.0,14444049019.0,
AOT.BK,quarterly,2025-03-31,2025-05-15,45,17905877678.0,7428722095.0,6591842312.0,49325991928.0,10562509597.0,38763482331.0,14285700000.0,14437915651.0,0.013698471288206449
AOT.BK,quarterly,2025-06-30,2025-08-14,45,15343317415.0,5351567200.0,4806447144.0,49873201734.0,13684714205.0,36188487529.0,14285700000.0,14314062548.0,-0.1431127984387206
AOT.BK,quarterly,2025-09-30,2025-11-14,45,15766282551.0,5522767047.0,5051592626.0,50254532813.0,19401080655.0,30853452158.0,14285700000.0,0.0,0.02756673309687896
AOT.BK,quarterly,2025-12-31,2026-02-14,45,16851996044.0,6534514752.0,7880991964.0,44666505206.0,21123577496.0,23542927710.0,14285700000.0,14098867685.0,0.06886299858498579
AWC.BK,annual,2021-12-31,2022-02-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AWC.BK,annual,2022-12-31,2023-02-14,45,9555877358.0,5991212696.0,-4506395546.0,66512557602.0,283589881.0,66228967721.0,32000771000.0,32008946000.0,
AWC.BK,annual,2023-12-31,2024-02-14,45,13988947986.0,7899424348.0,2690072194.0,71049978669.0,509195394.0,70540783275.0,32002343000.0,32013716000.0,0.46391037284386205
AWC.BK,annual,2024-12-31,2025-02-14,45,15902271039.0,8841078741.0,360801963.0,78022629111.0,464412364.0,77558216747.0,32004961000.0,32047376000.0,0.13677390572292025
AWC.BK,annual,2025-12-31,2026-02-14,45,17356237140.0,9626917316.0,-1728260777.0,90210614560.0,378800623.0,89831813937.0,32012971100.0,32051175000.0,0.09143134948676046
AWC.BK,quarterly,2024-09-30,2024-11-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32078338028.0,
AWC.BK,quarterly,2024-12-31,2025-02-14,45,4405277039.0,2484658741.0,88840963.0,78022629111.0,464412364.0,77558216747.0,32004961000.0,0.0,
AWC.BK,quarterly,2025-03-31,2025-05-15,45,4633435000.0,2918087000.0,-2291137000.0,85695671000.0,426798000.0,85268873000.0,32012971500.0,32040552000.0,0.05179196653924678
AWC.BK,quarterly,2025-06-30,2025-08-14,45,3674214000.0,2192085000.0,-410756000.0,89564373000.0,362670000.0,89201703000.0,32012971500.0,32065753425.0,-0.20702157254822828
AWC.BK,quarterly,2025-09-30,2025-11-14,45,4080272000.0,1924111000.0,32490000.0,90332002000.0,264888000.0,90067114000.0,32012971500.0,32070027933.0,0.11051560959704587
AWC.BK,quarterly,2025-12-31,2026-02-14,45,4968316140.0,2592634316.0,941142223.0,90210614560.0,378800623.0,89831813937.0,32012971100.0,0.0,0.2176433678931209
BANPU.BK,annual,2021-12-31,2022-02-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6580473000.0,
BANPU.BK,annual,2022-12-31,2023-02-14,45,7693220000.0,2400697000.0,1547683000.0,6067539000.0,2154023000.0,3913516000.0,8454161388.0,7842236000.0,
BANPU.BK,annual,2023-12-31,2024-02-14,45,5083007000.0,864290000.0,-205680000.0,6542334000.0,1574962000.0,4967372000.0,10018902725.0,8835701000.0,-0.3392874505083697
BANPU.BK,annual,2024-12-31,2025-02-14,45,5148446000.0,584978000.0,189700000.0,6210644000.0,1595623000.0,4615021000.0,10018902725.0,10018903000.0,0.0128740723748757
BANPU.BK,annual,2025-12-31,2026-02-14,45,5278102000.0,364649000.0,-121642000.0,7488363000.0,1786222000.0,5702141000.0,10018902725.0,0.0,0.025183521396553443
BANPU.BK,quarterly,2024-09-30,2024-11-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10018903000.0,
BANPU.BK,quarterly,2024-12-31,2025-02-14,45,1368476000.0,145311000.0,27478000.0,6210644000.0,1595623000.0,4615021000.0,10018902725.0,0.0,
BANPU.BK,quarterly,2025-03-31,2025-05-15,45,1283603000.0,104754000.0,-156236000.0,6281798000.0,1511717000.0,4770081000.0,10018902725.0,10018903000.0,-0.06202008657806202
BANPU.BK,quarterly,2025-06-30,2025-08-14,45,1237174000.0,50704000.0,182245000.0,6653138000.0,1627523000.0,5025615000.0,10018902725.0,10018903000.0,-0.036170840984322994
BANPU.BK,quarterly,2025-09-30,2025-11-14,45,1358440000.0,152214000.0,-53000000.0,6908395000.0,1458024000.0,5450371000.0,10018902725.0,10018903000.0,0.0980185487247549
BANPU.BK,quarterly,2025-12-31,2026-02-14,45,1398885000.0,56977000.0,-94651000.0,7488363000.0,1786222000.0,5702141000.0,10018902725.0,0.0,0.029773122110656303
BBL.BK,annual,2021-12-31,2022-02-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BBL.BK,annual,2022-12-31,2023-02-14,45,145504281000.0,0.0,70786130000.0,419050000000.0,52432699000.0,366617301000.0,1908842894.0,1908843000.0,
BBL.BK,annual,2023-12-31,2024-02-14,45,179731792000.0,0.0,110058999000.0,518579000000.0,45517980000.0,473061020000.0,1908842894.0,1908843000.0,0.23523370422345158
BBL.BK,annual,2024-12-31,2025-02-14,45,187994583000.0,0.0,31089687000.0,536940000000.0,47363509000.0,489576491000.0,1908842894.0,1908843000.0,0.04597289610287758
BBL.BK,annual,2025-12-31,2026-02-14,45,190980693000.0,0.0,115419505000.0,538228000000.0,47560267000.0,490667733000.0,1908842894.0,1908843000.0,0.015884021509279256
BBL.BK,quarterly,2024-09-30,2024-11-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1908843000.0,
BBL.BK,quarterly,2024-12-31,2025-02-14,45,47838217000.0,0.0,-50993265000.0,536940000000.0,47363509000.0,489576491000.0,1908842894.0,0.0,
BBL.BK,quarterly,2025-03-31,2025-05-15,45,48745590000.0,0.0,-9349814000.0,586784446000.0,44031276000.0,542753170000.0,1908842894.0,1908843000.0,0.01896753384433203
BBL.BK,quarterly,2025-06-30,2025-08-14,45,47572105000.0,0.0,-54252792000.0,555092000000.0,37895587000.0,517196413000.0,1908842894.0,1908843000.0,-0.024073664920252313
BBL.BK,quarterly,2025-09-30,2025-11-14,45,50775018000.0,0.0,171583467000.0,521720002000.0,38176747000.0,483543255000.0,1908842894.0,1908843000.0,0.06732754415639164
BBL.BK,quarterly,2025-12-31,2026-02-14,45,43890343000.0,0.0,7438644000.0,538228000000.0,47560267000.0,490667733000.0,1908842894.0,0.0,-0.1355917786183749
BDMS.BK,annual,2021-12-31,2022-02-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BDMS.BK,annual,2022-12-31,2023-02-14,45,91933634602.0,17113447273.0,15193937714.0,23593874216.0,12668014026.0,10925860190.0,15892001895.0,15892001895.0,
