Ticker,Period_Type,Statement_Date,Availability_Date,Reporting_Lag_Days,Revenue,EBIT,FCF,Total_Debt,Total_Cash,Net_Debt,Shares_Issued,Diluted_Average_Shares,Revenue_Growth
BBL.BK,quarterly,2024-09-30,2024-11-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1908843000.0,
BBL.BK,quarterly,2024-12-31,2025-02-14,45,47838217000.0,0.0,-50993265000.0,536940000000.0,47363509000.0,489576491000.0,1908842894.0,0.0,
BBL.BK,quarterly,2025-03-31,2025-05-15,45,48745590000.0,0.0,-9349814000.0,586784446000.0,44031276000.0,542753170000.0,1908842894.0,1908843000.0,0.018967533844332
BBL.BK,quarterly,2025-06-30,2025-08-14,45,47572105000.0,0.0,-54252792000.0,555092000000.0,37895587000.0,517196413000.0,1908842894.0,1908843000.0,-0.0240736649202523
BBL.BK,quarterly,2025-09-30,2025-11-14,45,50775018000.0,0.0,171583467000.0,521720002000.0,38176747000.0,483543255000.0,1908842894.0,1908843000.0,0.0673275441563916
BBL.BK,quarterly,2025-12-31,2026-02-14,45,43890343000.0,0.0,7438644000.0,538228000000.0,47560267000.0,490667733000.0,1908842894.0,0.0,-0.1355917786183749
KTB.BK,quarterly,2024-09-30,2024-11-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13916603571.0,
KTB.BK,quarterly,2024-12-31,2025-02-14,45,38583693000.0,0.0,76378584000.0,362352532000.0,435135721000.0,-72783189000.0,13976061250.0,0.0,
KTB.BK,quarterly,2025-03-31,2025-05-15,45,39378043000.0,0.0,-4615362000.0,391517165000.0,56779972000.0,334737193000.0,13976061250.0,13944878571.0,0.0205877130527656
KTB.BK,quarterly,2025-06-30,2025-08-14,45,39009670000.0,0.0,-12363785000.0,389373335000.0,498875317000.0,-109501982000.0,13976061250.0,13902505000.0,-0.009354781800609
KTB.BK,quarterly,2025-09-30,2025-11-14,45,41129274000.0,0.0,72096003000.0,407881559000.0,45234943000.0,362646616000.0,13976061250.0,13923904762.0,0.0543353481329116
KTB.BK,quarterly,2025-12-31,2026-02-14,45,36912249000.0,0.0,136348818000.0,373034692000.0,428962383000.0,-55927691000.0,13976061250.0,0.0,-0.1025309855943482
SCB.BK,quarterly,2024-09-30,2024-11-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3366445846.0,
SCB.BK,quarterly,2025-03-31,2025-05-15,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3369836927.0,
SCB.BK,quarterly,2025-06-30,2025-08-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3364753947.0,
SCB.BK,quarterly,2025-09-30,2025-11-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3367667598.0,
BAFS.BK,quarterly,2024-09-30,2024-11-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637496000.0,
BAFS.BK,quarterly,2024-12-31,2025-02-14,45,940926800.0,144043256.0,192037979.0,12719365319.0,555374486.0,12163990833.0,637496153.0,0.0,
BAFS.BK,quarterly,2025-03-31,2025-05-15,45,948414000.0,333336000.0,308666000.0,12861790000.0,725123000.0,12136667000.0,637496153.0,637496000.0,0.0079572608623752
BAFS.BK,quarterly,2025-06-30,2025-08-14,45,842076000.0,225923000.0,286835000.0,13300615000.0,1064029000.0,12236586000.0,637496153.0,637496000.0,-0.1121219214393713
BAFS.BK,quarterly,2025-09-30,2025-11-14,45,900647000.0,210056000.0,206686000.0,13039372000.0,688109000.0,12351263000.0,637496153.0,637496000.0,0.0695554795529145
BAFS.BK,quarterly,2025-12-31,2026-02-14,45,929204529.0,136948740.0,73528801.0,12829036021.0,419359653.0,12409676368.0,637496153.0,0.0,0.0317077933974132
CIMBT.BK,quarterly,2024-09-30,2024-11-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34822261748.0,
CIMBT.BK,quarterly,2024-12-31,2025-02-14,45,3406206982.0,0.0,-5713387396.0,96996045435.0,5571862156.0,91424183279.0,34822261748.0,0.0,
CIMBT.BK,quarterly,2025-03-31,2025-05-15,45,3316744000.0,0.0,9614566000.0,129939328000.0,1908645000.0,128030683000.0,34822261748.0,34822261748.0,-0.0262646933885005
CIMBT.BK,quarterly,2025-06-30,2025-08-14,45,3196645390.0,0.0,-4586098522.0,17325660966.0,7608607862.0,9717053104.0,34822261748.0,34822261748.0,-0.0362097918922895
CIMBT.BK,quarterly,2025-09-30,2025-11-14,45,3768950000.0,0.0,1095282522.0,123647008000.0,607607000.0,123039401000.0,34822261748.0,34822261748.0,0.1790328735837665
