Ticker,Company_Name,Sector,Industry,Current_Price,Market_Cap,EPS,PE_Ratio,PB_Ratio,EV_EBITDA,Revenue,Revenue_Growth,EBIT,FCF,Total_Debt,Total_Cash,Debt_to_Equity,Current_Ratio,Profit_Margin,Operating_Margin,ROE,ROA,Beta,Cost_of_Equity,Cost_of_Debt,WACC,Dividend_Yield,Payout_Ratio,Earnings_Growth,Fetched_Date
ADVANC.BK,Advanced Info Service Public Company Limited,Communication Services,Telecom Services,363.0,1079638163456,16.12,22.51861,10.07354,12.282,226263821386.0,0.05,65425895724.0,73674265836.0,192277954560,25969330176,179.229,0.516,0.21164,0.29023,0.46813,0.09354,0.123,0.04238,0.04099793976922156,0.04093152420182663,4.63,0.78449994,0.543,2026-04-11 06:03:59
AOT.BK,Airports of Thailand Public Company Limited,Industrials,Airports & Air Services,54.0,771427794944,1.23,43.90244,5.6926,25.391,66679386770.0,-0.046,25856390253.0,19814444114.0,45198434304,21188022272,32.854,1.788,0.26466,0.36768,0.13235,0.07111,0.172,0.04532,0.055651849997321534,0.045275803704847295,1.5,0.65849996,-0.108,2026-04-11 06:04:00
AWC.BK,Asset World Corp Public Company Limited,Consumer Cyclical,Lodging,2.22,71098925056,0.2,11.1,0.7422267,26.448,17356237140.0,0.131,9626917316.0,-1728260777.0,90289750016,378800608,94.309,0.059,0.36543998,0.26203,0.06813,0.01356,0.365,0.056900000000000006,0.01974621703664104,0.03390469395231892,3.6,0.3763,0.002,2026-04-11 06:04:00
BANPU.BK,Banpu Public Company Limited,Energy,Thermal Coal,5.85,58610581504,-0.19,0,0.5149676,67.56,5278102000.0,0.022,364649000.0,-121642000.0,7498835968,1971304960,153.247,1.19,-0.01164,0.07,0.0064,0.016490001,0.433,0.060980000000000006,0.04552759941101301,0.05819437845967048,6.15,1.3500999,0.0,2026-04-11 06:04:01
BBL.BK,Bangkok Bank Public Company Limited,Financial Services,Banks - Regional,166.0,316867903488,24.1,6.8879666,0.5521095,0.0,190980693000.0,-0.08,0.0,115419505000.0,309876457472,159571935232,0.0,0.0,0.32319,0.27344,0.081879996,0.01013,0.216,0.04796,0.18314072796294292,0.09668660529863458,9.94,0.3527,-0.254,2026-04-11 06:04:02
BDMS.BK,Bangkok Dusit Medical Services Public Company Limited,Healthcare,Medical Care Facilities,18.6,295591247872,1.0,18.6,2.7915354,11.672,111507275082.0,0.043,20419085065.0,12023201450.0,17487003648,7241904640,15.896,0.978,0.13999,0.15983,0.15302,0.08144,0.365,0.056900000000000006,0.02039013859534365,0.05463296113120187,4.3,0.75,-0.148,2026-04-11 06:04:03
BEM.BK,Bangkok Expressway and Metro Public Company Limited,Industrials,Railroads,5.3,79382749184,0.25,21.2,2.145749,20.936,16915820126.0,-0.006,6841955624.0,-20704968366.0,112428621824,2333364992,303.834,0.582,0.22351,0.36903,0.102790006,0.029260002,0.372,0.05732,0.02003938110641373,0.03311909585882647,2.83,0.6,-0.101,2026-04-11 06:04:04
BGRIM.BK,B.Grimm Power Public Company Limited,Utilities,Utilities - Independent Power Producers,11.9,31022108672,0.29,41.03448,1.7695167,11.267,55387523000.0,-0.007,8629869357.0,14613762360.0,121270542336,24172210176,245.686,1.724,0.030250002,0.13846,0.06437,0.0257,1.039,0.09734,0.038396150543294295,0.04428808359096839,3.46,1.4828,-0.331,2026-04-11 06:04:05
BH.BK,Bumrungrad Hospital Public Company Limited,Healthcare,Medical Care Facilities,172.5,137131737088,8.66,19.919168,4.443357,12.323,25215051097.0,0.006,9307632225.0,6156105978.0,106583208,13948432384,0.342,4.597,0.29517,0.34632,0.25652,0.16452,0.173,0.045380000000000004,0.06218418571150532,0.04538339180791456,2.9,0.5774,-0.009,2026-04-11 06:04:07
BJC.BK,Berli Jucker Public Company Limited,Industrials,Conglomerates,15.1,60517732352,1.0,15.1,0.50294775,11.831,154020370608.0,-0.023,11867697371.0,10775121733.0,160022183936,4409828864,126.383,0.624,0.02567,0.07624,0.03887,0.02175,0.314,0.05384,0.033916541991269526,0.034461761546634,3.38,0.71,-0.214,2026-04-11 06:04:08
BTS.BK,BTS Group Holdings Public Company Limited,Industrials,Railroads,2.14,34440740864,-0.07,0,0.6009548,61.67,18111023207.0,0.125,10328025401.0,38690053065.0,192782893056,55278718976,193.565,1.681,-0.04625,0.02698,-0.01854,0.00307,0.123,0.04238,0.035890113953161565,0.030783763454284956,0.0,0.0,0.0,2026-04-11 06:04:09
CBG.BK,Carabao Group Public Company Limited,Consumer Defensive,Beverages - Non-Alcoholic,38.0,38000001024,2.32,16.37931,2.6944623,9.069,22041839143.0,-0.143,3107672918.0,2618772574.0,2516208384,1482905856,17.888,1.528,0.11374,0.21174999,0.16869,0.12036,0.582,0.06992000000000001,0.03209480960063441,0.06717227239576619,3.16,0.6034,-0.818,2026-04-11 06:04:10
CCET.BK,Cal-Comp Electronics (Thailand) Public Company Limited,Technology,Computer Hardware,5.15,53817516032,0.2,25.75,2.1711636,11.92,138635344073.0,-0.099,3176449939.0,479183641.0,21068853248,7388684800,84.985,1.209,0.01466,0.02471,0.07944,0.028989999,0.324,0.05444,0.036337241091784364,0.04730223680009714,3.5,1.0,-0.235,2026-04-11 06:04:11
CENTEL.BK,Central Plaza Hotel Public Company Limited,Consumer Cyclical,Resorts & Casinos,34.75,46912499712,1.48,23.479729,2.0936258,16.179,23953951337.0,0.052,3639036002.0,3455380675.0,31798372352,3678762496,140.611,0.555,0.08083,0.13599,0.09017,0.028350001,0.188,0.04628,0.03640593497003906,0.03934945689526848,1.93,0.3986,0.461,2026-04-11 06:04:12
COM7.BK,Com7 Public Company Limited,Consumer Cyclical,Specialty Retail,22.2,52340916224,1.71,12.982456,4.9564633,11.022,87254554000.0,0.127,5197790000.0,4798417000.0,12016528384,4191119104,109.545,1.183,0.04646,0.058579996,0.41224998,0.11054,0.383,0.057980000000000004,0.02309019636398838,0.05060327585260733,4.95,0.5029,0.139,2026-04-11 06:04:13
CPALL.BK,CP ALL Public Company Limited,Consumer Defensive,Grocery Stores,47.75,425715269632,3.1,15.403226,3.3194299,13.541,990662609397.0,0.018,53812827764.0,46683198004.0,442339360768,53560725504,133.418,0.609,0.027609998,0.05192,0.0979,0.03427,0.505,0.0653,0.03367006188448026,0.04575067125610439,3.46,0.4355,0.018,2026-04-11 06:04:14
CPF.BK,Charoen Pokphand Foods Public Company Limited,Consumer Defensive,Farm Products,20.8,158742609920,3.12,6.6666665,0.82615083,9.104,571134512000.0,-0.048,40396584000.0,54032184000.0,516785307648,27965032448,205.188,0.671,0.04389,0.03838,0.105100006,0.035269998,0.047,0.037820000000000006,0.006033341029353985,0.01257978965217078,2.4,0.4968,-0.79,2026-04-11 06:04:15
CPN.BK,Central Pattana Public Company Limited,Real Estate,Real Estate - Diversified,63.5,284988014592,4.2,15.119048,2.5936365,12.879,50034076205.0,0.07,27265720181.0,36880584847.0,116677869568,6015208960,97.834,0.75,0.34812,0.47140998,0.16740999,0.05289,0.631,0.07286000000000001,0.03175217190472313,0.0590740919169557,3.78,0.5,0.256,2026-04-11 06:04:16
DELTA.BK,Delta Electronics (Thailand) Public Company Limited,Industrials,Electrical Equipment & Parts,317.0,3954199756800,2.0,158.5,40.882126,115.35,198153416583.0,0.382,28950539656.0,13090328550.0,1465753600,20288075776,1.515,1.991,0.12523,0.13891,0.28091,0.1176,0.744,0.07964,0.043451179652569165,0.07962337027280719,0.19,0.23120001,2.367,2026-04-11 06:04:17
EA.BK,Energy Absolute Public Company Limited,Utilities,Utilities - Renewable,2.66,19755290624,-0.67,0,0.59388256,24.907,13098001012.0,-0.234,-4066814476.0,6742467021.0,49828405248,915347392,144.527,1.558,-0.37080002,-0.88474,-0.20472,-0.0057599996,0.667,0.07502,0.04567025552340631,0.047462019101250655,0.0,0.0,0.0,2026-04-11 06:04:18
