Ticker,Passes_Reverse_DCF_Filter,Exclusion_Reasons
ADVANC.BK,True,PASS
AOT.BK,True,PASS
AWC.BK,False,FCF<=0_or_missing
BANPU.BK,False,FCF<=0_or_missing
BBL.BK,True,PASS
BDMS.BK,True,PASS
BEM.BK,False,FCF<=0_or_missing
BGRIM.BK,True,PASS
BH.BK,True,PASS
BJC.BK,True,PASS
BTS.BK,True,PASS
CBG.BK,True,PASS
CCET.BK,True,PASS
CENTEL.BK,True,PASS
COM7.BK,True,PASS
CPALL.BK,True,PASS
CPF.BK,True,PASS
CPN.BK,True,PASS
DELTA.BK,True,PASS
EA.BK,True,PASS
EGCO.BK,True,PASS
GLOBAL.BK,True,PASS
GPSC.BK,True,PASS
GULF.BK,False,FCF<=0_or_missing
HMPRO.BK,True,PASS
IVL.BK,True,PASS
KBANK.BK,True,PASS
KCE.BK,True,PASS
KKP.BK,True,PASS
KTB.BK,True,PASS
KTC.BK,True,PASS
LH.BK,True,PASS
MINT.BK,True,PASS
OR.BK,True,PASS
OSP.BK,True,PASS
PTT.BK,True,PASS
RATCH.BK,True,PASS
SAWAD.BK,True,PASS
SCB.BK,False,FCF<=0_or_missing
SCC.BK,True,PASS
SCGP.BK,True,PASS
TCAP.BK,True,PASS
TIDLOR.BK,True,PASS
TISCO.BK,True,PASS
TLI.BK,True,PASS
TOP.BK,True,PASS
TRUE.BK,True,PASS
TTB.BK,True,PASS
TU.BK,True,PASS
VGI.BK,True,PASS
