Ticker,Ban_Rebalance_Date,Triggered_By_Exit_Date,Triggered_By_Return,Losing_Buy_Rounds,Max_Losing_Buy_Rounds,Case_Name,Top_N,Stop_Loss_Pct
BCT.BK,2023-10-02,2024-01-03,-0.0338982913675433,3,2,baseline,10,0.0
SITHAI.BK,2023-10-02,2024-01-03,-0.008546913454128946,3,2,baseline,10,0.0
ASAP.BK,2024-01-03,2024-04-01,-0.04848480294668034,3,2,baseline,10,0.0
ITD.BK,2024-01-03,2024-04-01,-0.35869569231409126,3,2,baseline,10,0.0
ASIAN.BK,2024-01-03,2024-04-01,-0.062499957772752524,3,2,baseline,10,0.0
AKR.BK,2024-04-01,2024-07-01,-0.02015076679462746,3,2,baseline,10,0.0
KBS.BK,2024-04-01,2024-07-01,-0.08771927299686655,3,2,baseline,10,0.0
MEGA.BK,2024-04-01,2024-07-01,-0.11627901076238789,3,2,baseline,10,0.0
JAS.BK,2024-09-30,2025-01-02,-0.2885906469832129,3,2,baseline,10,0.0
IRPC.BK,2025-03-31,2025-06-30,-0.16483516121076136,3,2,baseline,10,0.0
HANA.BK,2025-09-30,2026-01-05,-0.2740891514632273,3,2,baseline,10,0.0
NOBLE.BK,2026-03-31,2026-04-10,-0.004999995231628418,3,2,baseline,10,0.0
JMART.BK,2026-03-31,2026-04-10,-0.014925359325276832,3,2,baseline,10,0.0
