Sector,Horizon_Months,Mean_Forward_Return,Mean_Active_Return,Selections
Technology,3,0.39130005745576546,0.3967359019706834,8
Communication Services,3,0.08865355540592905,0.11848063766231816,17
Basic Materials,3,0.06901453283721193,0.058729424520946066,11
Consumer Cyclical,3,0.02783950805049338,0.03184903154604347,22
Industrials,3,-0.0012295798944828322,0.000606931122325628,32
Utilities,3,0.022719382828345,-0.01141255295576272,9
Consumer Defensive,3,-0.029815136523174104,-0.016135013890014895,22
Financial Services,3,0.009295501137657067,-0.02247410163570296,30
Real Estate,3,-0.04090552572133337,-0.03067659320381785,21
Energy,3,-0.034785337992317804,-0.0335206485005068,22
Healthcare,3,-0.05136796256451092,-0.03656854816788165,6
Technology,6,0.40778507978430917,0.3838349465104726,8
Communication Services,6,0.2698313890905004,0.30447458226665397,17
Basic Materials,6,0.07665470647724253,0.07441759605871189,11
Consumer Cyclical,6,0.017605711263687644,0.04599316431178288,22
Industrials,6,-0.013368567967658437,-0.005451576213570707,32
Energy,6,-0.04425626943368904,-0.032324694637254375,22
Consumer Defensive,6,-0.06876555511334402,-0.03306285112555384,22
Utilities,6,-0.002071478011851893,-0.03322355899490042,9
Healthcare,6,-0.09271511199753603,-0.05010976541085598,6
Real Estate,6,-0.06430954720587881,-0.06351115342545131,21
Financial Services,6,-0.002935364131938354,-0.08485256502940207,30
Technology,12,0.6974102331810952,0.6199121175002504,8
Communication Services,12,0.4310204085959515,0.5277843406906241,17
Basic Materials,12,0.0664834720999219,0.07418111399938178,11
Consumer Defensive,12,-0.005633122201732726,0.03398358703381068,22
Energy,12,-0.04099830539038837,-0.0024023386745067117,22
Consumer Cyclical,12,-0.015596950662121257,-0.006299839974963866,22
Utilities,12,-0.09159436584272963,-0.06074644472629273,9
Healthcare,12,-0.1365968491176686,-0.08021773796116209,6
Financial Services,12,0.031000398192717476,-0.09884199568671245,30
Industrials,12,-0.13890054778832886,-0.10706304050529782,32
Real Estate,12,-0.14985036606366606,-0.12459523646763561,21
