Rebalance_Date,Horizon_Months,Case_Name,Top_N,Top_N_Requested,Stop_Loss_Pct,Portfolio_Return,Benchmark_Return,Active_Return,Hit,Universe_Count,Eligible_Count,Excluded_Count,Turnover
2021-06-30,3,baseline,10,10,0.0,-0.05645254473069301,0.01126724202086593,-0.06771978675155894,False,100,47,53,0.0
2021-06-30,6,baseline,10,10,0.0,0.04408719992838276,0.04397933878960347,0.00010786113877928744,True,100,47,53,0.0
2021-06-30,12,baseline,10,10,0.0,-0.03692754576355929,-0.01225608079724605,-0.024671464966313242,False,100,47,53,0.0
2021-09-30,3,baseline,10,10,0.0,-0.010118285810940809,0.0323476282128623,-0.042465914023803106,False,100,43,57,0.9
2021-09-30,6,baseline,10,10,0.0,-0.022017357989955688,0.057744985054050346,-0.07976234304400603,False,100,43,57,0.9
2021-09-30,12,baseline,10,10,0.0,-0.04334773755066264,-0.010070526757769316,-0.03327721079289332,False,100,43,57,0.9
2022-01-04,3,baseline,10,10,0.0,-0.0038282718072129795,0.019547635032077126,-0.023375906839290105,False,100,37,63,0.4
2022-01-04,6,baseline,10,10,0.0,-0.04398035803928785,-0.06586321325528577,0.02188285521599792,True,100,37,63,0.4
2022-01-04,12,baseline,10,10,0.0,0.0006227348154608681,0.0017781274103931821,-0.001155392594932314,False,100,37,63,0.4
2022-03-31,3,baseline,10,10,0.0,-0.07054679405440936,-0.07486257692761344,0.004315782873204083,True,100,40,60,0.7
2022-03-31,6,baseline,10,10,0.0,-0.07642801967819117,-0.062368738985523975,-0.014059280692667195,False,100,40,60,0.7
2022-03-31,12,baseline,10,10,0.0,-0.04007679331353324,-0.05077154077586554,0.010694747462332302,True,100,40,60,0.7
2022-06-30,3,baseline,10,10,0.0,-0.010833550668819946,0.013504845475386107,-0.024338396144206055,False,100,41,59,1.0
2022-06-30,6,baseline,10,10,0.0,0.05165611755094236,0.06397255739308316,-0.0123164398421408,False,100,41,59,1.0
2022-06-30,12,baseline,10,10,0.0,-0.09882765682691644,-0.04159200059714696,-0.05723565622976948,False,100,41,59,1.0
2022-09-30,3,baseline,10,10,0.0,0.09128256310371599,0.049795234964096435,0.041487328139619556,True,100,40,60,0.9
2022-09-30,6,baseline,10,10,0.0,0.012716362520477087,0.010009395399802168,0.002706967120674919,True,100,40,60,0.9
2022-09-30,12,baseline,10,10,0.0,-0.09305550800113135,-0.07428701633159174,-0.018768491669539616,False,100,40,60,0.9
2023-01-03,3,baseline,10,10,0.0,-0.03804219590248485,-0.04681440225701061,0.00877220635452576,True,100,34,66,0.9
2023-01-03,6,baseline,10,10,0.0,-0.08927947475434464,-0.10252119328300269,0.013241718528658047,True,100,34,66,0.9
2023-01-03,12,baseline,10,10,0.0,-0.13584587622975797,-0.14851366012312528,0.012667783893367313,True,100,34,66,0.9
2023-03-31,3,baseline,10,10,0.0,-0.07598197641600195,-0.06591600978310264,-0.010065966632899312,False,100,52,48,0.9
2023-03-31,6,baseline,10,10,0.0,-0.07338181613405317,-0.08559691423080962,0.012215098096756444,True,100,52,48,0.9
2023-03-31,12,baseline,10,10,0.0,0.00272173917474734,-0.14369525670024275,0.14641699587499007,True,100,52,48,0.9
2023-06-30,3,baseline,10,10,0.0,0.07371742959895328,-0.021069737468829675,0.09478716706778295,True,100,56,44,0.6
2023-06-30,6,baseline,10,10,0.0,0.2349395515016141,-0.05804670442229787,0.292986255923912,True,100,56,44,0.6
2023-06-30,12,baseline,10,10,0.0,0.3934653908473017,-0.13448208231767111,0.5279474731649728,True,100,56,44,0.6
2023-10-02,3,baseline,10,10,0.0,0.1363342688639513,-0.036482780597410724,0.17281704946136203,True,100,54,46,0.5
2023-10-02,6,baseline,10,10,0.0,0.26858716316735365,-0.061246990317845085,0.32983415348519873,True,100,54,46,0.5
2023-10-02,12,baseline,10,10,0.0,0.42705453019731304,-0.012290186193243069,0.4393447163905561,True,100,54,46,0.5
2024-01-03,3,baseline,10,10,0.0,-0.02873936041742877,-0.037723348788582634,0.008983988371153863,True,100,57,43,0.5
2024-01-03,6,baseline,10,10,0.0,-0.06736835496471086,-0.0943747600104411,0.027006405045730236,True,100,57,43,0.5
2024-01-03,12,baseline,10,10,0.0,-0.15094496931844265,-0.03137895769839538,-0.11956601162004726,False,100,57,43,0.5
2024-04-01,3,baseline,10,10,0.0,0.09729962763191748,-0.05808710964807495,0.15538673727999242,True,100,55,45,0.7
2024-04-01,6,baseline,10,10,0.0,0.18950519804912846,0.06174794481757773,0.12775725323155074,True,100,55,45,0.7
2024-04-01,12,baseline,10,10,0.0,0.08365524533928272,-0.15328961922712747,0.23694486456641017,True,100,55,45,0.7
2024-07-01,3,baseline,10,10,0.0,0.04659451603660849,0.12722519852221037,-0.08063068248560187,False,100,57,43,0.8
2024-07-01,6,baseline,10,10,0.0,-0.15542248615958626,0.07762341728299949,-0.23304590344258574,False,100,57,43,0.8
2024-07-01,12,baseline,10,10,0.0,-0.31129253744072194,-0.14571898978558895,-0.165573547655133,False,100,57,43,0.8
2024-09-30,3,baseline,10,10,0.0,0.05934985598192542,-0.03355811005563736,0.09290796603756278,True,100,54,46,0.5
2024-09-30,6,baseline,10,10,0.0,-0.12175673802511236,-0.18869019358714412,0.06693345556203176,True,100,54,46,0.5
2024-09-30,12,baseline,10,10,0.0,-0.14938431055802157,-0.12055238875995622,-0.028831921798065346,False,100,54,46,0.5
2025-01-02,3,baseline,10,10,0.0,-0.1472667999873409,-0.15013228817989388,0.002865488192552973,True,100,37,63,0.9
2025-01-02,6,baseline,10,10,0.0,-0.21875206233939815,-0.19144112682794734,-0.027310935511450807,False,100,37,63,0.9
2025-01-02,12,baseline,10,10,0.0,-0.18522712737382108,-0.08709637552415217,-0.0981307518496689,False,100,37,63,0.9
2025-03-31,3,baseline,10,10,0.0,-0.05589512638891976,-0.059174942577125744,0.0032798161882059834,True,100,67,33,1.0
2025-03-31,6,baseline,10,10,0.0,0.06750931419578321,0.10023407641113335,-0.032724762215350145,False,100,67,33,1.0
2025-03-31,12,baseline,10,10,0.0,0.25636473169879,0.25045554092394995,0.005909190774840034,True,100,67,33,1.0
2025-06-30,3,baseline,10,10,0.0,0.2025362786470338,0.16943534584943487,0.03310093279759893,True,100,63,37,0.8
2025-06-30,6,baseline,10,10,0.0,0.1144548508394209,0.1561272221846277,-0.04167237134520681,False,100,63,37,0.8
2025-06-30,12,baseline,10,10,0.0,0.16560223283527817,0.38298017987657174,-0.21737794704129357,False,100,63,37,0.8
2025-09-30,3,baseline,10,10,0.0,-0.0014291394813371495,-0.011379956756087717,0.009950817274750567,True,100,63,37,0.9
2025-09-30,6,baseline,10,10,0.0,0.10842338560944835,0.1376974384271472,-0.029274052817698862,False,100,63,37,0.9
2025-09-30,12,baseline,10,10,0.0,0.12005163849857399,0.1826050792675724,-0.06255344076899842,False,100,63,37,0.9
2026-01-05,3,baseline,10,10,0.0,0.16686301502172243,0.13589308584545168,0.030969929176270755,True,100,65,35,0.8
2026-01-05,6,baseline,10,10,0.0,0.180098369896119,0.17717269508314293,0.0029256748129760646,True,100,65,35,0.8
2026-01-05,12,baseline,10,10,0.0,0.180098369896119,0.17717269508314293,0.0029256748129760646,True,100,65,35,0.8
2026-03-31,3,baseline,10,10,0.0,0.011626351575019322,0.0405347207991662,-0.028908369224146878,False,100,64,36,0.8
2026-03-31,6,baseline,10,10,0.0,0.011626351575019322,0.0405347207991662,-0.028908369224146878,False,100,64,36,0.8
2026-03-31,12,baseline,10,10,0.0,0.011626351575019322,0.0405347207991662,-0.028908369224146878,False,100,64,36,0.8
