Ticker,Ban_Rebalance_Date,Triggered_By_Exit_Date,Triggered_By_Return,Losing_Buy_Rounds,Max_Losing_Buy_Rounds,Case_Name,Top_N,Stop_Loss_Pct
RCL.BK,2022-03-31,2022-06-30,-0.11494247033433502,3,2,baseline,10,0.0
BRR.BK,2022-09-30,2023-01-03,-0.09883730674208324,3,2,baseline,10,0.0
STPI.BK,2023-01-03,2023-03-31,-0.0048076878990646055,3,2,baseline,10,0.0
CGD.BK,2023-06-30,2023-10-02,-0.028571401810159047,3,2,baseline,10,0.0
ASAP.BK,2024-01-03,2024-04-01,-0.04848480294668034,3,2,baseline,10,0.0
ITD.BK,2024-01-03,2024-04-01,-0.35869569231409126,3,2,baseline,10,0.0
KSL.BK,2024-01-03,2024-04-01,-0.11593046446515565,3,2,baseline,10,0.0
TR.BK,2024-01-03,2024-04-01,-0.02941177000117401,3,2,baseline,10,0.0
GPI.BK,2024-04-01,2024-07-01,-0.06971304725504823,3,2,baseline,10,0.0
SPALI.BK,2024-04-01,2024-07-01,-0.11385432558012898,3,2,baseline,10,0.0
KBS.BK,2024-04-01,2024-07-01,-0.08771927299686655,3,2,baseline,10,0.0
SPRC.BK,2024-07-01,2024-09-30,-0.12110944827265802,3,2,baseline,10,0.0
JAS.BK,2024-09-30,2025-01-02,-0.2885906469832129,3,2,baseline,10,0.0
TVO.BK,2025-01-02,2025-03-31,-0.02157289871422652,3,2,baseline,10,0.0
PRIN.BK,2025-03-31,2025-06-30,-0.06790124319835578,3,2,baseline,10,0.0
IRPC.BK,2026-03-31,2026-04-10,-0.14646462578759412,3,2,baseline,10,0.0
