Ticker,Price_Date,Statement_Date,Availability_Date,Period_Type,WACC_Mode,No_Lookahead_Pass,Days_Since_Available,Price,FCF,Shares,WACC,Net_Debt,Actual_Revenue_Growth,Implied_Growth_Rate,Signal_Score,Intrinsic_Value,Losing_Buy_Rounds,Buy_Ban_Active,Rebalance_Date,Universe_Count,Eligible_Count,Excluded_Count,Case_Name,Top_N_Requested,Stop_Loss_Pct
GPI.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,1.57474684715271,215030000.0,600000000.0,0.08,-21699383.96,0.0,-0.2216796875,0.2216796875,1.574595438031036,0,False,2021-06-30,100,47,53,baseline,10,0.0
RCL.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,31.05168914794922,2151000000.0,828750000.0,0.08,-11537247290.0,0.0,-0.14946746826171875,0.14946746826171875,31.052630746660046,0,False,2021-06-30,100,47,53,baseline,10,0.0
NCH.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,1.4699300527572632,273410000.0,1245283691.0,0.08,1093803545.34,0.0,-0.0689697265625,0.0689697265625,1.4693844108663718,0,False,2021-06-30,100,47,53,baseline,10,0.0
DRT.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,5.8562517166137695,417210000.0,855033100.0,0.08,686646601.0,0.0,-0.0279541015625,0.0279541015625,5.8569671931984875,0,False,2021-06-30,100,47,53,baseline,10,0.0
TVO.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,22.04544448852539,1136000000.0,889471248.0,0.08,-318710600.0,0.0,0.009090423583984375,-0.009090423583984375,22.045082809979384,0,False,2021-06-30,100,47,53,baseline,10,0.0
ADVANC.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,133.372802734375,15461000000.0,2974000000.0,0.08,119401689939.0,0.0,0.12682008743286133,-0.12682008743286133,133.37245271196588,0,False,2021-06-30,100,47,53,baseline,10,0.0
SPRC.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,7.591061115264893,1247000000.0,4335902125.0,0.08,9655025185.0,0.0,0.1308441162109375,-0.1308441162109375,7.591348370969338,0,False,2021-06-30,100,47,53,baseline,10,0.0
STPI.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,5.0,258079999.99999997,1624831478.0,0.08,732732921.0,0.0,0.131805419921875,-0.131805419921875,5.000616902187192,0,False,2021-06-30,100,47,53,baseline,10,0.0
EGCO.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,136.99832153320312,3145000000.0,526465000.0,0.08,77952903000.0,0.0,0.19154644012451172,-0.19154644012451172,136.99757563301014,0,False,2021-06-30,100,47,53,baseline,10,0.0
KTC.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,57.367919921875,4214000000.0,2578334070.0,0.08,59790330830.0,0.0,0.19750595092773438,-0.19750595092773438,57.368220948215615,0,False,2021-06-30,100,47,53,baseline,10,0.0
GLOBAL.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,15.53697109222412,1960000000.0,5602026188.0,0.08,13109981381.0,0.0,0.20415496826171875,-0.20415496826171875,15.536966268450811,0,False,2021-06-30,100,47,53,baseline,10,0.0
BCH.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,19.86373710632324,957920000.0,2494000000.0,0.08,1290233826.0,0.0,0.21115875244140625,-0.21115875244140625,19.86421730232612,0,False,2021-06-30,100,47,53,baseline,10,0.0
OR.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,26.6530876159668,5589000000.0,12000000000.0,0.08,5909745706.0,0.0,0.22864532470703125,-0.22864532470703125,26.653143415454345,0,False,2021-06-30,100,47,53,baseline,10,0.0
PSL.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,14.994526863098145,447200000.0,1559291862.0,0.08,5668175318.0,0.0,0.2490386962890625,-0.2490386962890625,14.99411094466842,0,False,2021-06-30,100,47,53,baseline,10,0.0
GPSC.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,66.00460052490234,4462000000.0,2819729367.0,0.08,119076106085.0,0.0,0.25882625579833984,-0.25882625579833984,66.00469935715411,0,False,2021-06-30,100,47,53,baseline,10,0.0
PF.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,0.3894285559654236,455230000.0,10011080604.0,0.08,28949318000.0,0.0,0.26904296875,-0.26904296875,0.38984277468888356,0,False,2021-06-30,100,47,53,baseline,10,0.0
BJC.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,31.10352325439453,3753000000.0,4007796699.0,0.08,160517182412.0,0.0,0.2789192199707031,-0.2789192199707031,31.10352599394608,0,False,2021-06-30,100,47,53,baseline,10,0.0
HMPRO.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,12.412129402160645,1994000000.0,13151198025.0,0.08,15913326725.0,0.0,0.31134033203125,-0.31134033203125,12.411899919799406,0,False,2021-06-30,100,47,53,baseline,10,0.0
BCPG.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,10.988442420959473,399880000.0,2907688000.0,0.08,5748058784.0,0.0,0.320770263671875,-0.320770263671875,10.988834753111368,0,False,2021-06-30,100,47,53,baseline,10,0.0
CHG.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,3.353456258773804,370560000.0,11000000000.0,0.08,-1130350001.0,0.0,0.325347900390625,-0.325347900390625,3.3536738431254967,0,False,2021-06-30,100,47,53,baseline,10,0.0
CPF.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,23.02988052368164,6908000000.0,8611242385.0,0.08,487603899000.0,0.0,0.3309612274169922,-0.3309612274169922,23.030551613918238,0,False,2021-06-30,100,47,53,baseline,10,0.0
OSP.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,30.68972396850586,916560000.0,3003750000.0,0.08,797004990.0,0.0,0.3351898193359375,-0.3351898193359375,30.689465209662828,0,False,2021-06-30,100,47,53,baseline,10,0.0
RS.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,9.769243240356444,241530000.0,2139493281.0,0.08,4019736415.0,0.0,0.338531494140625,-0.338531494140625,9.768631664768387,0,False,2021-06-30,100,47,53,baseline,10,0.0
BDMS.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,19.86795234680176,3118000000.0,15892001895.0,0.08,10925860190.0,0.0,0.34157562255859375,-0.34157562255859375,19.868752576708793,0,False,2021-06-30,100,47,53,baseline,10,0.0
BGRIM.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,38.44372177124024,1789000000.0,2606900000.0,0.08,87335253471.0,0.0,0.3417015075683594,-0.3417015075683594,38.44471357065004,0,False,2021-06-30,100,47,53,baseline,10,0.0
RATCH.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,32.70490646362305,1271000000.0,2175000000.0,0.08,64633962964.0,0.0,0.3454151153564453,-0.3454151153564453,32.705253724389074,0,False,2021-06-30,100,47,53,baseline,10,0.0
BH.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,111.21951293945312,806520000.0,794885742.0,0.08,-2027844871.0,0.0,0.3459358215332031,-0.3459358215332031,111.21883164167069,0,False,2021-06-30,100,47,53,baseline,10,0.0
PTT.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,29.01550674438477,14001000000.0,28562996250.0,0.08,853538674343.0,0.0,0.36892127990722656,-0.36892127990722656,29.015808290654522,0,False,2021-06-30,100,47,53,baseline,10,0.0
LH.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,5.962284088134766,1038000000.0,11949713176.0,0.08,57788071876.0,0.0,0.3757476806640625,-0.3757476806640625,5.961298150464697,0,False,2021-06-30,100,47,53,baseline,10,0.0
FPI.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,1.928988575935364,26630000.0,1513029934.0,0.08,531666000.0,0.0,0.38421630859375,-0.38421630859375,1.929952666673301,0,False,2021-06-30,100,47,53,baseline,10,0.0
