Ticker,Observation_Row_Count,Has_Fundamental_Observations
ADVANC.BK,25,True
AKR.BK,11,True
AOT.BK,25,True
AP.BK,11,True
ASAP.BK,11,True
ASIAN.BK,11,True
AWC.BK,25,True
BANPU.BK,25,True
BAY.BK,25,True
BBL.BK,25,True
BCH.BK,25,True
BCPG.BK,25,True
BCT.BK,10,True
BDMS.BK,25,True
BEM.BK,25,True
BGRIM.BK,25,True
BH.BK,25,True
BJC.BK,25,True
BRR.BK,25,True
BTS.BK,24,True
CBG.BK,25,True
CCET.BK,25,True
CENTEL.BK,25,True
CGD.BK,25,True
CHG.BK,25,True
CIMBT.BK,25,True
COM7.BK,25,True
CPALL.BK,25,True
CPF.BK,25,True
CPN.BK,25,True
CRC.BK,24,True
DELTA.BK,25,True
DRT.BK,25,True
EA.BK,25,True
EGCO.BK,25,True
ERW.BK,25,True
FPI.BK,25,True
FPT.BK,25,True
GLOBAL.BK,25,True
GPI.BK,25,True
GPSC.BK,25,True
GULF.BK,25,True
HANA.BK,11,True
HMPRO.BK,25,True
IRPC.BK,10,True
ITD.BK,11,True
IVL.BK,25,True
JAS.BK,11,True
JMART.BK,11,True
JMT.BK,25,True
KBANK.BK,25,True
KBS.BK,11,True
KCE.BK,25,True
KKP.BK,25,True
KSL.BK,25,True
KTB.BK,25,True
KTC.BK,25,True
LH.BK,25,True
MEGA.BK,11,True
MINT.BK,25,True
MTC.BK,25,True
NCH.BK,25,True
NOBLE.BK,11,True
OR.BK,25,True
OSP.BK,25,True
PF.BK,25,True
PG.BK,25,True
PRIN.BK,25,True
PSL.BK,25,True
PTT.BK,25,True
PTTEP.BK,25,True
PTTGC.BK,25,True
RATCH.BK,25,True
RBF.BK,25,True
RCL.BK,25,True
RML.BK,11,True
RS.BK,25,True
SAWAD.BK,25,True
SCB.BK,24,True
SCC.BK,25,True
SCGP.BK,25,True
SITHAI.BK,11,True
SPALI.BK,25,True
SPRC.BK,25,True
STPI.BK,25,True
TCAP.BK,25,True
THANI.BK,25,True
TIDLOR.BK,22,True
TISCO.BK,25,True
TLI.BK,25,True
TOP.BK,25,True
TR.BK,24,True
TRUE.BK,25,True
TTB.BK,25,True
TU.BK,24,True
TVO.BK,25,True
VGI.BK,24,True
WHA.BK,25,True
WPH.BK,25,True
XPG.BK,25,True
