Ticker,StockAnalysis_File_Available,StockAnalysis_Quarter_Count,Fallback_Quarter_Count,Merged_Quarter_Count,Quarterly_Start_Date,Quarterly_End_Date,StockAnalysis_Core_Field_Count,Missing_Scraping_Fields,Revenue_From_Scraping,EBIT_From_Scraping,FCF_From_Scraping
ADVANC.BK,True,20,5,20,2021-03-31,2025-12-31,3,,True,True,True
AKR.BK,False,0,6,6,2024-09-30,2025-12-31,0,"Revenue,EBIT,FCF",False,False,False
AOT.BK,True,20,6,20,2021-03-31,2025-12-31,3,,True,True,True
AP.BK,False,0,6,6,2024-09-30,2025-12-31,0,"Revenue,EBIT,FCF",False,False,False
ASAP.BK,False,0,6,6,2024-09-30,2025-12-31,0,"Revenue,EBIT,FCF",False,False,False
ASIAN.BK,False,0,6,6,2024-09-30,2025-12-31,0,"Revenue,EBIT,FCF",False,False,False
AWC.BK,True,20,6,20,2021-03-31,2025-12-31,3,,True,True,True
BANPU.BK,True,20,6,20,2021-03-31,2025-12-31,3,,True,True,True
BAY.BK,True,20,6,20,2021-03-31,2025-12-31,1,"EBIT,FCF",True,False,False
BBL.BK,True,20,6,20,2021-03-31,2025-12-31,1,"EBIT,FCF",True,False,False
BCH.BK,True,20,6,20,2021-03-31,2025-12-31,3,,True,True,True
BCPG.BK,True,20,5,20,2021-03-31,2025-12-31,3,,True,True,True
BCT.BK,False,0,6,6,2024-09-30,2025-12-31,0,"Revenue,EBIT,FCF",False,False,False
BDMS.BK,True,20,6,20,2021-03-31,2025-12-31,3,,True,True,True
BEM.BK,True,20,6,20,2021-03-31,2025-12-31,3,,True,True,True
BGRIM.BK,True,20,6,20,2021-03-31,2025-12-31,3,,True,True,True
BH.BK,True,20,6,20,2021-03-31,2025-12-31,3,,True,True,True
BJC.BK,True,20,6,20,2021-03-31,2025-12-31,3,,True,True,True
BRR.BK,True,20,6,20,2021-03-31,2025-12-31,3,,True,True,True
BTS.BK,True,20,6,20,2021-03-31,2025-12-31,3,,True,True,True
CBG.BK,True,20,6,20,2021-03-31,2025-12-31,3,,True,True,True
CCET.BK,True,20,6,20,2021-03-31,2025-12-31,3,,True,True,True
CENTEL.BK,True,20,6,20,2021-03-31,2025-12-31,3,,True,True,True
CGD.BK,True,20,6,20,2021-03-31,2025-12-31,3,,True,True,True
CHG.BK,True,20,6,20,2021-03-31,2025-12-31,3,,True,True,True
CIMBT.BK,True,20,6,20,2021-03-31,2025-12-31,1,"EBIT,FCF",True,False,False
