Ticker,Passes_Reverse_DCF_Filter,Exclusion_Reasons
ADVANC.BK,True,PASS
AKR.BK,True,PASS
AOT.BK,True,PASS
AP.BK,True,PASS
ASAP.BK,True,PASS
ASIAN.BK,False,FCF<=0_or_missing
AWC.BK,True,PASS
BANPU.BK,False,FCF<=0_or_missing
BAY.BK,True,PASS
BBL.BK,True,PASS
BCH.BK,True,PASS
BCPG.BK,True,PASS
BCT.BK,False,FCF<=0_or_missing
BDMS.BK,True,PASS
BEM.BK,False,FCF<=0_or_missing
BGRIM.BK,True,PASS
BH.BK,True,PASS
BJC.BK,True,PASS
BRR.BK,True,PASS
BTS.BK,True,PASS
CBG.BK,True,PASS
CCET.BK,False,FCF<=0_or_missing
CENTEL.BK,True,PASS
CGD.BK,False,FCF<=0_or_missing
CHG.BK,False,FCF<=0_or_missing
CIMBT.BK,False,FCF<=0_or_missing
COM7.BK,False,FCF<=0_or_missing
CPALL.BK,True,PASS
CPF.BK,True,PASS
CPN.BK,True,PASS
CRC.BK,True,PASS
DELTA.BK,True,PASS
DRT.BK,True,PASS
EA.BK,True,PASS
EGCO.BK,False,FCF<=0_or_missing
ERW.BK,True,PASS
FPI.BK,False,FCF<=0_or_missing
FPT.BK,True,PASS
GLOBAL.BK,True,PASS
GPI.BK,False,FCF<=0_or_missing
GPSC.BK,True,PASS
GULF.BK,False,FCF<=0_or_missing
HANA.BK,True,PASS
HMPRO.BK,True,PASS
IRPC.BK,True,PASS
ITD.BK,True,PASS
IVL.BK,True,PASS
JAS.BK,True,PASS
JMART.BK,True,PASS
JMT.BK,True,PASS
KBANK.BK,True,PASS
KBS.BK,True,PASS
KCE.BK,True,PASS
KKP.BK,True,PASS
KSL.BK,False,FCF<=0_or_missing
KTB.BK,True,PASS
KTC.BK,False,FCF<=0_or_missing
LH.BK,True,PASS
MEGA.BK,True,PASS
MINT.BK,True,PASS
MTC.BK,True,PASS
NCH.BK,True,PASS
NOBLE.BK,True,PASS
OR.BK,True,PASS
OSP.BK,True,PASS
PF.BK,True,PASS
PG.BK,True,PASS
PRIN.BK,True,PASS
PSL.BK,False,FCF<=0_or_missing
PTT.BK,True,PASS
PTTEP.BK,True,PASS
PTTGC.BK,False,FCF<=0_or_missing
RATCH.BK,True,PASS
RBF.BK,True,PASS
RCL.BK,False,FCF<=0_or_missing
RML.BK,False,FCF<=0_or_missing
RS.BK,True,PASS
SAWAD.BK,True,PASS
SCB.BK,False,FCF<=0_or_missing
SCC.BK,True,PASS
SCGP.BK,True,PASS
SITHAI.BK,True,PASS
SPALI.BK,True,PASS
SPRC.BK,True,PASS
STPI.BK,True,PASS
TCAP.BK,True,PASS
THANI.BK,True,PASS
TIDLOR.BK,True,PASS
TISCO.BK,True,PASS
TLI.BK,True,PASS
TOP.BK,True,PASS
TR.BK,False,FCF<=0_or_missing
TRUE.BK,True,PASS
TTB.BK,True,PASS
TU.BK,False,FCF<=0_or_missing
TVO.BK,True,PASS
VGI.BK,False,FCF<=0_or_missing
WHA.BK,False,FCF<=0_or_missing
WPH.BK,False,FCF<=0_or_missing
XPG.BK,False,FCF<=0_or_missing
