Ticker,Company_Name,Sector,Current_Price,Market_Cap_B,FCF_M,WACC,EPS,PE_Ratio,Actual_Revenue_Growth,Implied_Growth_Rate,Intrinsic_Value,Premium_Discount,Growth_Differential,ROE,Debt_to_Equity,Recommendation
ADVANC.BK,Advanced Info Service Public Company Limited,Communication Services,363.0,1079.638163456,73674.265836,0.0409315242018266,16.12,22.51861,0.05,-22.356152534484863,363.0003404993056,9.380146159809755e-05,-27.356152534484863,0.46813,179.229,UNDervalued - Strong Buy
AOT.BK,Airports of Thailand Public Company Limited,Industrials,54.0,771.427794944,19814.444114,0.0452758037048472,1.23,43.90244,-0.046,-2.2472381591796875,53.999296454221216,-0.0013028625532984783,2.3527618408203126,0.13235,32.854,Fair Value - Hold
BBL.BK,Bangkok Bank Public Company Limited,Financial Services,166.0,316.867903488,115419.505,0.0966866052986345,24.1,6.8879666,-0.08,-24.01747703552246,166.0003574924322,0.0002153568868568101,-16.01747703552246,0.081879996,0.0,UNDervalued - Strong Buy
BDMS.BK,Bangkok Dusit Medical Services Public Company Limited,Healthcare,18.6,295.591247872,12023.20145,0.0546329611312018,1.0,18.6,0.043,-3.87115478515625,18.60082739621036,0.004448366722353825,-8.171154785156249,0.15302,15.896,UNDervalued - Buy
BGRIM.BK,B.Grimm Power Public Company Limited,Utilities,11.9,31.022108672,14613.76236,0.0442880835909683,0.29,41.03448,-0.007,-30.05695343017578,11.90069262547648,0.005820382155286019,-29.356953430175782,0.06437,245.686,UNDervalued - Strong Buy
BH.BK,Bumrungrad Hospital Public Company Limited,Healthcare,172.5,137.131737088,6156.105978,0.0453833918079145,8.66,19.919168,0.006,-15.380191802978516,172.4992701275098,-0.00042311448708032273,-15.980191802978517,0.25652,0.342,UNDervalued - Strong Buy
BJC.BK,Berli Jucker Public Company Limited,Industrials,15.1,60.517732352,10775.121733,0.034461761546634,1.0,15.1,-0.023,-26.742172241210938,15.099954707512252,-0.0002999502499823059,-24.442172241210937,0.03887,126.383,UNDervalued - Strong Buy
BTS.BK,BTS Group Holdings Public Company Limited,Industrials,2.14,34.440740864,38690.053065,0.0307837634542849,-0.07,0.0,0.125,-47.5006103515625,2.139420375111592,-0.02708527515926651,-60.0006103515625,-0.01854,193.565,UNDervalued - Strong Buy
CBG.BK,Carabao Group Public Company Limited,Consumer Defensive,38.0,38.000001024,2618.772574,0.0671722723957661,2.32,16.37931,-0.143,-7.68890380859375,38.000542616911865,0.0014279392417604342,6.611096191406249,0.16869,17.888,OVValued - Reduce
CCET.BK,Cal-Comp Electronics (Thailand) Public Company Limited,Technology,5.15,53.817516032,479.183641,0.0473022368000971,0.2,25.75,-0.099,28.607177734375,5.150574563709508,0.011156576883641911,38.507177734375,0.07944,84.985,OVValued - Avoid
CENTEL.BK,Central Plaza Hotel Public Company Limited,Consumer Cyclical,34.75,46.912499712,3455.380675,0.0393494568952684,1.48,23.479729,0.052,-19.84996795654297,34.75026249815517,0.0007553903746071455,-25.049967956542968,0.09017,140.611,UNDervalued - Strong Buy
COM7.BK,Com7 Public Company Limited,Consumer Cyclical,22.2,52.340916224,4798.417,0.0506032758526073,1.71,12.982456,0.127,-19.840240478515625,22.199846526689797,-0.0006913212171277827,-32.54024047851563,0.41224998,109.545,UNDervalued - Strong Buy
CPALL.BK,CP ALL Public Company Limited,Consumer Defensive,47.75,425.715269632,46683.198004,0.0457506712561043,3.1,15.403226,0.018,-17.527389526367188,47.75068828946192,0.0014414438993082257,-19.327389526367185,0.0979,133.418,UNDervalued - Strong Buy
CPF.BK,Charoen Pokphand Foods Public Company Limited,Consumer Defensive,20.8,158.74260992,54032.184,0.0125797896521707,3.12,6.6666665,-0.048,-38.802242279052734,20.800189022328258,0.0009087611935409967,-34.00224227905274,0.105100006,205.188,UNDervalued - Strong Buy
CPN.BK,Central Pattana Public Company Limited,Real Estate,63.5,284.988014592,36880.584847,0.0590740919169557,4.2,15.119048,0.07,-17.868995666503906,63.499903099127835,-0.00015259979868620377,-24.868995666503906,0.16740999,97.834,UNDervalued - Strong Buy
DELTA.BK,Delta Electronics (Thailand) Public Company Limited,Industrials,317.0,3954.1997568,13090.32855,0.0796233702728071,2.0,158.5,0.382,78.62558364868164,317.00091404157564,0.0002883411910570288,40.42558364868164,0.28091,1.515,OVValued - Avoid
EA.BK,Energy Absolute Public Company Limited,Utilities,2.66,19.755290624,6742.467021,0.0474620191012506,-0.67,0.0,-0.234,-25.4364013671875,2.6600362350438185,0.00136221969242456,-2.0364013671874988,-0.20472,144.527,Fair Value - Hold
EGCO.BK,Electricity Generating Public Company Limited,Utilities,111.5,58.700845056,3075.077,0.0449281107680182,8.98,12.416482,-0.231,-1.103830337524414,111.49928827360971,-0.0006383196325510099,21.996169662475587,0.04617,108.933,OVValued - Avoid
GLOBAL.BK,Siam Global House Public Company Limited,Consumer Cyclical,6.1,34.17218048,4738.61971,0.047110245005473,0.35,17.428572,0.0,-27.496337890625,6.100686016085436,0.011246165335010438,-27.496337890625,0.07651,43.398,UNDervalued - Strong Buy
GPSC.BK,Global Power Synergy Public Company Limited,Utilities,34.75,97.985593344,18801.443842,0.0563213030781592,2.27,15.308371,-0.096,-20.273399353027344,34.7494402679329,-0.001610739761448432,-10.673399353027344,0.06162,98.943,UNDervalued - Strong Buy
HMPRO.BK,Home Product Center Public Company Limited,Consumer Cyclical,6.3,81.638547456,5275.591533,0.0534241240402791,0.46,13.695652,-0.03,-9.9365234375,6.30016405810709,0.0026040969379526047,-6.9365234375,0.22728,98.037,UNDervalued - Buy
IVL.BK,Indorama Ventures Public Company Limited,Basic Materials,24.5,137.556525056,28234.835,0.0588563988873053,-1.47,0.0,-0.154,-14.0838623046875,24.500246470092634,0.001006000378089844,1.3161376953125,-0.05156,204.844,Fair Value - Hold
KBANK.BK,Kasikornbank Public Company Limited,Financial Services,192.0,454.910902272,210619.919,0.0535790963245611,20.62,9.311348,0.031,-50.0,307.3537665952267,60.08008676834724,-53.1,0.08453,0.0,UNRELIABLE - No Convergence
KCE.BK,KCE Electronics Public Company Limited,Technology,25.75,30.438780928,1921.877049,0.0733934725003983,0.7,36.785713,-0.067,-4.047393798828125,25.75078473785829,0.003047525663268935,2.652606201171875,0.06358,11.14,Fair Value - Hold
KKP.BK,Kiatnakin Phatra Bank Public Company Limited,Financial Services,80.0,66.784845824,23040.964,0.0859008064639886,7.17,11.157601,-0.022,-31.093215942382812,79.99981178329996,-0.00023527087504859878,-28.89321594238281,0.09297,0.0,UNDervalued - Strong Buy
KTB.BK,Krung Thai Bank Public Company Limited,Financial Services,33.0,461.210025984,191465.674,0.085618707918762,3.45,9.565217,-0.051,-35.40763854980469,32.99988263515199,-0.0003556510545732472,-30.30763854980469,0.11021,0.0,UNDervalued - Strong Buy
KTC.BK,Krungthai Card Public Company Limited,Financial Services,29.0,74.771685376,9122.825471,0.0420142377351207,3.02,9.602649,0.127,-24.347496032714844,28.999290247284424,-0.0024474231571591787,-37.04749603271485,0.18016,129.809,UNDervalued - Strong Buy
LH.BK,Land and Houses Public Company Limited,Real Estate,3.8,45.40891136,1776.33747,0.0477499189177493,0.31,12.258064,-0.315,10.99700927734375,3.800650554617736,0.017119858361480667,42.49700927734375,0.0,151.037,OVValued - Avoid
MINT.BK,Minor International Public Company Limited,Consumer Cyclical,22.5,126.55292416,23747.755517,0.0513227864066105,1.29,17.44186,0.042,-19.099807739257812,22.49925850979491,-0.003295512022627456,-23.299807739257812,0.10034,191.425,UNDervalued - Strong Buy
OR.BK,PTT Oil and Retail Business Public Company Limited,Energy,12.2,146.400002048,4626.06174,0.0594430490810355,0.94,12.978724,-0.163,1.24664306640625,12.1999168824844,-0.0006812911114706388,17.54664306640625,0.10147,20.703,OVValued - Avoid
