Ticker,Passes_Reverse_DCF_Filter,Exclusion_Reasons
ADVANC.BK,True,PASS
AOT.BK,True,PASS
AWC.BK,False,FCF<=0_or_missing
BANPU.BK,False,FCF<=0_or_missing
BBL.BK,True,PASS
BDMS.BK,True,PASS
BEM.BK,False,FCF<=0_or_missing
BGRIM.BK,True,PASS
BH.BK,True,PASS
BJC.BK,True,PASS
BTS.BK,True,PASS
CBG.BK,True,PASS
CCET.BK,True,PASS
CENTEL.BK,True,PASS
COM7.BK,True,PASS
CPALL.BK,True,PASS
CPF.BK,True,PASS
CPN.BK,True,PASS
DELTA.BK,True,PASS
EA.BK,True,PASS
EGCO.BK,True,PASS
GLOBAL.BK,True,PASS
GPSC.BK,True,PASS
GULF.BK,False,FCF<=0_or_missing
HMPRO.BK,True,PASS
IVL.BK,True,PASS
KBANK.BK,True,PASS
KCE.BK,True,PASS
KKP.BK,True,PASS
KTB.BK,True,PASS
KTC.BK,True,PASS
LH.BK,True,PASS
MINT.BK,True,PASS
OR.BK,True,PASS
OSP.BK,True,PASS
PTT.BK,True,PASS
RATCH.BK,True,PASS
SAWAD.BK,True,PASS
SCB.BK,False,FCF<=0_or_missing
SCC.BK,True,PASS
SCGP.BK,True,PASS
TCAP.BK,True,PASS
TIDLOR.BK,True,PASS
TISCO.BK,True,PASS
TLI.BK,True,PASS
TOP.BK,True,PASS
TRUE.BK,True,PASS
TTB.BK,True,PASS
TU.BK,True,PASS
VGI.BK,True,PASS
PTTEP.BK,True,PASS
PTTGC.BK,True,PASS
WHA.BK,False,FCF<=0_or_missing
BAY.BK,True,PASS
BANK.BK,False,Market_Cap<=0_or_missing;FCF<=0_or_missing
CIMBT.BK,False,FCF<=0_or_missing
CIP.BK,False,Current_Price<=0_or_missing;Market_Cap<=0_or_missing;FCF<=0_or_missing
CRC.BK,True,PASS
DRT.BK,True,PASS
FPT.BK,True,PASS
IFEC.BK,False,Current_Price<=0_or_missing;Market_Cap<=0_or_missing;FCF<=0_or_missing
JMT.BK,True,PASS
KSL.BK,False,FCF<=0_or_missing
LHB.BK,False,Current_Price<=0_or_missing;Market_Cap<=0_or_missing;FCF<=0_or_missing
MAK.BK,False,Current_Price<=0_or_missing;Market_Cap<=0_or_missing;FCF<=0_or_missing
MK.BK,False,FCF<=0_or_missing
MTC.BK,False,FCF<=0_or_missing
NCH.BK,True,PASS
PF.BK,True,PASS
PG.BK,True,PASS
PLAN.BK,False,Current_Price<=0_or_missing;Market_Cap<=0_or_missing;FCF<=0_or_missing
PRIN.BK,True,PASS
PSL.BK,False,FCF<=0_or_missing
RBF.BK,True,PASS
RCL.BK,True,PASS
RS.BK,False,FCF<=0_or_missing
SPALI.BK,True,PASS
SPRC.BK,True,PASS
STPI.BK,True,PASS
TFF.BK,False,Current_Price<=0_or_missing;Market_Cap<=0_or_missing;FCF<=0_or_missing
THANI.BK,True,PASS
TID.BK,False,Current_Price<=0_or_missing;Market_Cap<=0_or_missing;FCF<=0_or_missing
TIP.BK,False,Current_Price<=0_or_missing;Market_Cap<=0_or_missing;FCF<=0_or_missing
TMB.BK,False,Current_Price<=0_or_missing;Market_Cap<=0_or_missing;FCF<=0_or_missing
TPI.BK,False,Current_Price<=0_or_missing;Market_Cap<=0_or_missing;FCF<=0_or_missing
TR.BK,True,PASS
TVO.BK,True,PASS
UOB.BK,False,Current_Price<=0_or_missing;Market_Cap<=0_or_missing;FCF<=0_or_missing
WPH.BK,False,FCF<=0_or_missing
XPG.BK,False,FCF<=0_or_missing
YUWTA.BK,False,Current_Price<=0_or_missing;Market_Cap<=0_or_missing;FCF<=0_or_missing
BCH.BK,True,PASS
BCPG.BK,True,PASS
BRR.BK,True,PASS
CGD.BK,False,FCF<=0_or_missing
CHG.BK,True,PASS
ERW.BK,True,PASS
FPI.BK,True,PASS
GLOW.BK,False,Current_Price<=0_or_missing;Market_Cap<=0_or_missing;FCF<=0_or_missing
GPI.BK,True,PASS
